candidate_id,target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse
ambench_line0_1_phase51_dense_csv,target_frame_q90,time_only,extra_trees,model:extra_trees:fit=train,test,7,91.087950,56.787133,0.068450,0.251550
ambench_line0_1_phase51_dense_csv,target_frame_q90,time_only,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_q90,time_only,extra_trees,model:extra_trees:fit=train,val,7,27.681403,22.216032,0.020256,0.076445
ambench_line0_1_phase51_dense_csv,target_frame_q90,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,94.360027,58.827933,0.070909,0.260586
ambench_line0_1_phase51_dense_csv,target_frame_q90,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,68.674149,37.253663,0.050036,0.189652
ambench_line0_1_phase51_dense_csv,target_frame_q90,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,27.840977,21.680731,0.020373,0.076886
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,knn,model:knn:fit=train,test,7,101.199757,68.374328,0.076048,0.279475
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,knn,model:knn:fit=train,train,21,66.565847,34.307865,0.048500,0.183830
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,knn,model:knn:fit=train,val,7,32.846987,25.888021,0.024036,0.090711
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,extra_trees,model:extra_trees:fit=train,test,7,91.087950,56.787133,0.068450,0.251550
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,extra_trees,model:extra_trees:fit=train,val,7,27.681403,22.216032,0.020256,0.076445
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,94.360027,58.827933,0.070909,0.260586
