target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_accuracy,test_accuracy,val_log_loss,test_log_loss,majority_val_balanced_accuracy,majority_test_balanced_accuracy,val_balanced_accuracy_gain_vs_majority,test_balanced_accuracy_gain_vs_majority,selected_admissible,selected_negative_control
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,4112,812,756,0.985516307,0.661481634,0.754006352,0.700738916,0.847883598,0.988287996,0.451994116,0.500000000,0.500000000,0.161481634,0.254006352,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,4112,812,756,0.916141006,0.612991788,0.768878221,0.693349754,0.867724868,0.641023291,0.354301195,0.500000000,0.500000000,0.112991788,0.268878221,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,all_element_fractions,admissible,knn,4112,812,756,0.801603901,0.643909563,0.693877445,0.713054187,0.837301587,1.355401330,0.636953080,0.500000000,0.500000000,0.143909563,0.193877445,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,all_element_fractions,admissible,extra_trees,4112,812,756,1.000000000,0.694509157,0.735368667,0.745073892,0.846560847,0.538508933,0.362372820,0.500000000,0.500000000,0.194509157,0.235368667,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,all_element_fractions,admissible,hist_gradient_boosting,4112,812,756,0.936319110,0.653348452,0.795947610,0.716748768,0.882275132,0.640502996,0.307571694,0.500000000,0.500000000,0.153348452,0.295947610,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,knn,4112,812,756,0.792511055,0.589262275,0.663202599,0.688423645,0.824074074,0.721159580,0.571970990,0.500000000,0.500000000,0.089262275,0.163202599,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,extra_trees,4112,812,756,1.000000000,0.732189121,0.771873287,0.762315271,0.858465608,0.472772302,0.325884890,0.500000000,0.500000000,0.232189121,0.271873287,true,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,hist_gradient_boosting,4112,812,756,0.976967659,0.701271347,0.804844867,0.742610837,0.882275132,0.565431209,0.336268187,0.500000000,0.500000000,0.201271347,0.304844867,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,4112,812,756,0.500757560,0.500000000,0.500000000,0.671182266,0.784391534,0.649634539,0.611542763,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,4112,812,756,0.632504606,0.459351270,0.440088352,0.346059113,0.236772487,0.992545250,1.120164152,0.500000000,0.500000000,-0.040648730,-0.059911648,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,4112,812,756,0.626457056,0.542624472,0.655164030,0.620689655,0.787037037,0.912736458,0.588549480,0.500000000,0.500000000,0.042624472,0.155164030,false,false
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,4112,812,756,0.639538561,0.551712882,0.653653566,0.604679803,0.728835979,0.684645209,0.630957272,0.500000000,0.500000000,0.051712882,0.153653566,false,true
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,3624,1263,793,0.774588515,0.589736339,0.651856234,0.705463183,0.756620429,0.871380431,1.115721514,0.500000000,0.500000000,0.089736339,0.151856234,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,3624,1263,793,1.000000000,0.685278083,0.679518265,0.761678543,0.751576293,0.472126031,0.613348730,0.500000000,0.500000000,0.185278083,0.179518265,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,3624,1263,793,0.973669051,0.696517040,0.683010047,0.778305622,0.760403531,0.574125765,0.751023138,0.500000000,0.500000000,0.196517040,0.183010047,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,3624,1263,793,0.786301913,0.626034963,0.624110721,0.738717340,0.715006305,0.892502875,1.344551358,0.500000000,0.500000000,0.126034963,0.124110721,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,3624,1263,793,0.976448432,0.713849834,0.700465329,0.787015044,0.756620429,0.591187174,0.668115812,0.500000000,0.500000000,0.213849834,0.200465329,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,3624,1263,793,0.911203232,0.722795473,0.703583251,0.793349169,0.755359395,0.539391672,0.597059513,0.500000000,0.500000000,0.222795473,0.203583251,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,all_element_fractions,admissible,knn,3624,1263,793,0.792411071,0.624563110,0.636077879,0.707838480,0.733921816,0.950377448,1.509507699,0.500000000,0.500000000,0.124563110,0.136077879,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,all_element_fractions,admissible,extra_trees,3624,1263,793,1.000000000,0.686361117,0.691271270,0.772763262,0.757881463,0.461743239,0.520521213,0.500000000,0.500000000,0.186361117,0.191271270,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,all_element_fractions,admissible,hist_gradient_boosting,3624,1263,793,0.946215739,0.728829927,0.706301905,0.790973872,0.760403531,0.502269402,0.567038468,0.500000000,0.500000000,0.228829927,0.206301905,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,knn,3624,1263,793,0.786415024,0.626678279,0.627068935,0.734758511,0.716267339,1.034172121,1.235876129,0.500000000,0.500000000,0.126678279,0.127068935,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,extra_trees,3624,1263,793,1.000000000,0.753212343,0.703957111,0.814726841,0.765447667,0.415983097,0.482000920,0.500000000,0.500000000,0.253212343,0.203957111,true,false
