seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,train_objective,learned_center_shift,learned_source_width,raw_closure_coeff,calibrated_closure_coeff
171,P169-CASE-017,train,uniform_grid_latent_trainable_control,1,48,25,201,0.0005471594,-0.0199098353,0.0360962992,-0.0127972379,-0.0229593534
171,P169-CASE-018,test,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.000739315,-0.0200187196,0.0360080951,0.0391128159,0.0202032797
171,P169-CASE-018,test,uniform_grid_latent_trainable_control,1,48,25,201,0.000739315,-0.0200187196,0.0360080951,0.0391128159,0.0237565667
171,P169-CASE-019,train,tiny_explicit_latent_hidden_closure_smoke,3,48,63,507,0.0005952799,-0.0200397132,0.0359481885,0.115910481,0.0892843731
171,P169-CASE-019,train,uniform_grid_latent_trainable_control,1,48,25,201,0.0005952858,-0.0200399171,0.0359527503,0.1157839756,0.0927686004
171,P169-CASE-020,test,tiny_explicit_latent_hidden_closure_smoke,3,48,60,483,0.0005591854,-0.0201304785,0.0541996013,-0.1188755905,-0.1265953343
171,P169-CASE-020,test,uniform_grid_latent_trainable_control,1,48,24,193,0.0005591854,-0.0201304785,0.0541996013,-0.1188755905,-0.1165438341
171,P169-CASE-021,train,tiny_explicit_latent_hidden_closure_smoke,3,48,64,515,0.000591393,-0.0199568207,0.0539620697,-0.0376706784,-0.0529833511
171,P169-CASE-021,train,uniform_grid_latent_trainable_control,1,48,26,209,0.000591393,-0.0199568207,0.0539620697,-0.0376706784,-0.0434632754
171,P169-CASE-022,train,tiny_explicit_latent_hidden_closure_smoke,3,48,64,515,0.0003825551,-0.0200297435,0.0540710004,0.0487554055,0.0267224627
171,P169-CASE-022,train,uniform_grid_latent_trainable_control,1,48,24,193,0.0003825551,-0.0200297435,0.0540710004,0.0487554055,0.0343456686
171,P169-CASE-023,val,tiny_explicit_latent_hidden_closure_smoke,3,48,64,515,0.0004923966,-0.020065352,0.0538607828,0.1070780673,0.1189595353
171,P169-CASE-023,val,uniform_grid_latent_trainable_control,1,48,24,193,0.0004923987,-0.0200617405,0.0538632382,0.1069217755,0.0866834057
171,P169-CASE-024,train,tiny_explicit_latent_hidden_closure_smoke,3,48,63,507,0.000631272,-0.0201572715,0.0740973659,-0.1359715498,-0.1327551352
171,P169-CASE-024,train,uniform_grid_latent_trainable_control,1,48,25,201,0.000631272,-0.0201572715,0.0740973659,-0.1359715498,-0.1298310798
171,P169-CASE-025,val,tiny_explicit_latent_hidden_closure_smoke,3,48,62,499,0.0006042341,-0.0198518169,0.0741398821,-0.0771495994,-0.0766361675
171,P169-CASE-025,val,uniform_grid_latent_trainable_control,1,48,22,177,0.0006042393,-0.0198500427,0.0741407712,-0.077226432,-0.0769344163
171,P169-CASE-026,train,tiny_explicit_latent_hidden_closure_smoke,3,48,61,491,0.0004822365,-0.0202052033,0.0739599567,0.0706008299,0.055050274
171,P169-CASE-026,train,uniform_grid_latent_trainable_control,1,48,23,185,0.0004822397,-0.0202012029,0.0739631745,0.0703962236,0.0559234248
171,P169-CASE-027,test,tiny_explicit_latent_hidden_closure_smoke,3,48,65,523,0.000474793,-0.0201640976,0.0740847684,0.1122126953,0.0941815217
171,P169-CASE-027,test,uniform_grid_latent_trainable_control,1,48,25,201,0.0004747978,-0.0201656302,0.0740904003,0.1121106022,0.0934889259
171,P169-CASE-028,train,tiny_explicit_latent_hidden_closure_smoke,2,48,43,346,0.0006601967,-0.0198479104,0.0958232682,-0.0911444688,-0.096290147
171,P169-CASE-028,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0006601967,-0.0198479104,0.0958232682,-0.0911444688,-0.0871713047
171,P169-CASE-029,test,tiny_explicit_latent_hidden_closure_smoke,2,48,45,362,0.0005225371,-0.0202840168,0.095899146,-0.0047315925,-0.0198961582
171,P169-CASE-029,test,uniform_grid_latent_trainable_control,1,48,25,201,0.00052254,-0.0202809568,0.0958963094,-0.0047616804,-0.0094172245
171,P169-CASE-030,train,tiny_explicit_latent_hidden_closure_smoke,2,48,45,362,0.0005665142,-0.0201264027,0.0958460236,0.0256557117,0.0086733878
171,P169-CASE-030,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0005665142,-0.0201264027,0.0958460236,0.0256557117,0.0179640774
171,P169-CASE-031,train,tiny_explicit_latent_hidden_closure_smoke,2,48,45,362,0.0007122718,-0.0201656302,0.0957541503,0.1532041529,0.1246283962
171,P169-CASE-031,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0007122718,-0.0201656302,0.0957541503,0.1532041529,0.1327708542
171,P169-CASE-032,train,tiny_explicit_latent_hidden_closure_smoke,2,48,43,346,0.0005214415,0.0001310412,0.035797561,-0.0991673412,-0.1037346585
171,P169-CASE-032,train,uniform_grid_latent_trainable_control,1,48,25,201,0.0005214415,0.0001310412,0.035797561,-0.0991673412,-0.100067263
171,P169-CASE-033,test,tiny_explicit_latent_hidden_closure_smoke,2,48,43,346,0.0004647108,-4.21486e-05,0.0360583038,-0.041144446,-0.0501508976
171,P169-CASE-033,test,uniform_grid_latent_trainable_control,1,48,25,201,0.0004647271,-4.34014e-05,0.036052572,-0.0410157895,-0.0476987331
171,P169-CASE-034,train,tiny_explicit_latent_hidden_closure_smoke,3,48,58,467,0.0005240746,2.05202e-05,0.0357669536,0.0602528149,0.0415742719
171,P169-CASE-034,train,uniform_grid_latent_trainable_control,1,48,22,177,0.0005240756,1.24345e-05,0.0357603332,0.0604657285,0.0436248791
171,P169-CASE-035,train,tiny_explicit_latent_hidden_closure_smoke,2,48,42,338,0.0007337919,3.8383e-05,0.0358989355,0.1395674678,0.1148481728
171,P169-CASE-035,train,uniform_grid_latent_trainable_control,1,48,22,177,0.0007337967,3.50427e-05,0.0358960694,0.1396576668,0.1149277613
171,P169-CASE-036,train,tiny_explicit_latent_hidden_closure_smoke,3,48,53,427,0.0006041212,6.37139e-05,0.0540530949,-0.1036868183,-0.1106109138
171,P169-CASE-036,train,uniform_grid_latent_trainable_control,1,48,15,121,0.0006041212,6.37139e-05,0.0540530949,-0.1036868183,-0.1022082387
171,P169-CASE-037,train,tiny_explicit_latent_hidden_closure_smoke,3,48,59,475,0.000603372,-0.0001351169,0.0541125975,-0.0442139444,-0.0568426351
171,P169-CASE-037,train,uniform_grid_latent_trainable_control,1,48,17,137,0.000603372,-0.0001351169,0.0541125975,-0.0442139444,-0.0486717531
171,P169-CASE-038,val,tiny_explicit_latent_hidden_closure_smoke,3,48,54,435,0.0006176068,-2.26082e-05,0.0539490374,0.0171938687,-0.0011568022
171,P169-CASE-038,val,uniform_grid_latent_trainable_control,1,48,16,129,0.0006176068,-2.26082e-05,0.0539490374,0.0171938687,0.0065934241
171,P169-CASE-039,train,tiny_explicit_latent_hidden_closure_smoke,3,48,57,459,0.0005607717,1.03466e-05,0.0541441487,0.1406928894,0.113149987
171,P169-CASE-039,train,uniform_grid_latent_trainable_control,1,48,17,137,0.0005607754,6.839e-06,0.0541441933,0.1407578196,0.11784605
171,P169-CASE-040,val,tiny_explicit_latent_hidden_closure_smoke,3,48,56,451,0.0005419902,-0.0001486649,0.074183987,-0.1077763564,-0.1026665459
171,P169-CASE-040,val,uniform_grid_latent_trainable_control,1,48,18,145,0.0005419934,-0.0001483213,0.0741866108,-0.10784597,-0.1038312045
171,P169-CASE-041,train,tiny_explicit_latent_hidden_closure_smoke,3,48,56,451,0.000548458,2.4596e-05,0.0741011554,-0.0653294543,-0.0666971808
171,P169-CASE-041,train,uniform_grid_latent_trainable_control,1,48,18,145,0.0005484634,3.09669e-05,0.0741057136,-0.0655878019,-0.0657933616
171,P169-CASE-042,test,tiny_explicit_latent_hidden_closure_smoke,2,48,34,274,0.0005116442,-9.13461e-05,0.0737785912,0.0776908647,0.0617382118
171,P169-CASE-042,test,uniform_grid_latent_trainable_control,1,48,17,137,0.0005116442,-9.13461e-05,0.0737785912,0.0776908647,0.0631459463
171,P169-CASE-043,train,tiny_explicit_latent_hidden_closure_smoke,2,48,36,290,0.0005089444,0.0001159311,0.0738407924,0.1004497424,0.0840128639
