split_id,profile,method,role,split,rmse,mae,r2,n_rows
element_set_hash_0,train_mean,mean,mean_baseline,test,36.190915883,30.1589667453,-7.46263029339e-05,4363
element_set_hash_0,uci_feature_full,knn,admissible,train,4.39733602329,1.48636672743,0.983119335046,13051
element_set_hash_0,uci_feature_full,knn,admissible,val,15.6694722075,9.06809894751,0.776854987203,3849
element_set_hash_0,uci_feature_full,knn,admissible,test,16.4047236942,10.1783986607,0.794519269698,4363
element_set_hash_0,uci_feature_full,extra_trees,admissible,train,4.84850742106,2.34250400274,0.979477683917,13051
element_set_hash_0,uci_feature_full,extra_trees,admissible,val,13.3177722581,8.11646924373,0.83880869329,3849
element_set_hash_0,uci_feature_full,extra_trees,admissible,test,12.9091785373,8.64707137501,0.872758003382,4363
element_set_hash_0,uci_feature_full,hist_gradient_boosting,admissible,train,8.29645405684,5.35541289868,0.939910959669,13051
element_set_hash_0,uci_feature_full,hist_gradient_boosting,admissible,val,13.4330116943,8.39838090541,0.836007029051,3849
element_set_hash_0,uci_feature_full,hist_gradient_boosting,admissible,test,13.0610882787,8.84073148943,0.869745723672,4363
element_set_hash_0,weighted_feature_core,knn,admissible,train,4.39733601735,1.48635761182,0.983119335091,13051
element_set_hash_0,weighted_feature_core,knn,admissible,val,14.4431149262,8.34968681473,0.810416654803,3849
element_set_hash_0,weighted_feature_core,knn,admissible,test,14.1400624596,8.79116958779,0.847336253412,4363
element_set_hash_0,weighted_feature_core,extra_trees,admissible,train,4.86638317862,2.35563193881,0.979326079235,13051
element_set_hash_0,weighted_feature_core,extra_trees,admissible,val,13.0701878357,7.79840179741,0.844746247432,3849
element_set_hash_0,weighted_feature_core,extra_trees,admissible,test,13.0836861108,8.46932569947,0.869294611093,4363
element_set_hash_0,weighted_feature_core,hist_gradient_boosting,admissible,train,8.70681189604,5.65243096404,0.933819725088,13051
element_set_hash_0,weighted_feature_core,hist_gradient_boosting,admissible,val,13.8323336751,8.45332053554,0.826112100376,3849
element_set_hash_0,weighted_feature_core,hist_gradient_boosting,admissible,test,14.2386102473,9.44228019584,0.845200887925,4363
element_set_hash_0,element_fraction_vector,knn,admissible,train,4.38036962597,1.47658009771,0.983249346282,13051
element_set_hash_0,element_fraction_vector,knn,admissible,val,16.9853442088,9.81388319725,0.737803341466,3849
element_set_hash_0,element_fraction_vector,knn,admissible,test,15.4330415324,9.05942756847,0.818140366891,4363
element_set_hash_0,element_fraction_vector,extra_trees,admissible,train,5.89369382954,3.19532901029,0.969676077014,13051
element_set_hash_0,element_fraction_vector,extra_trees,admissible,val,12.2917680059,6.94202178071,0.862688422129,3849
element_set_hash_0,element_fraction_vector,extra_trees,admissible,test,12.1567837025,7.18082043007,0.887158035054,4363
element_set_hash_0,element_fraction_vector,hist_gradient_boosting,admissible,train,9.57728441549,6.21447014482,0.919925356732,13051
