row_id,method_id,method_family,train_points,budget_class,gate_comparator,validation_rmse,validation_pde_residual_rmse,validation_hot_q90_rmse,validation_gradient_q90_rmse,test_rmse,test_pde_residual_rmse,test_hot_q90_rmse,test_gradient_q90_rmse,global_delta_vs_vanilla,residual_delta_vs_vanilla,hot_delta_vs_vanilla,gradient_delta_vs_vanilla,notes
P99-MET-001,low_order_interpolation_full,baseline,285,full_grid,true,0.134094,1.098264,0.172382,0.075254,0.130146,1.065073,0.174943,0.077841,-0.028268,-0.109854,-0.060205,-0.018886,simple low-order registered-surrogate baseline
P99-MET-002,vanilla_deterministic_surrogate_full,baseline,285,full_grid,true,0.107311,0.993370,0.112032,0.056763,0.101878,0.955219,0.114738,0.058955,0.000000,0.000000,0.000000,0.000000,full-grid deterministic surrogate comparator
P99-MET-003,fixed_green_function_features_full,candidate,285,full_grid,false,0.000184,0.002796,0.000087,0.000163,0.000171,0.002728,0.000085,0.000162,0.101707,0.952491,0.114653,0.058792,candidate fixed registered Green's-function / heat-kernel feature basis
P99-MET-004,random_collocation_same_budget,baseline,72,same_budget,true,0.000276,0.003931,0.000091,0.000158,0.000258,0.004172,0.000085,0.000154,0.101620,0.951047,0.114653,0.058801,same-budget random collocation comparator
P99-MET-005,source_quota_green_same_budget,diagnostic_candidate,72,same_budget,false,0.000716,0.013975,0.000063,0.000455,0.000641,0.015039,0.000054,0.000419,0.101237,0.940180,0.114683,0.058536,registered-source quota diagnostic under the same collocation budget
