seed,case_id,split,variant_id,family,field_rmse,hot_q90_rmse,gradient_q90_rmse,closure_abs_error,coverage90_mean,selection_score
171,P169-CASE-014,test,fixed_nominal_source_closure_control,control,0.8555765964,1.413834637,1.886004937,0.8483066845,0,1.983174031
171,P169-CASE-016,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0231449477,0.0496394044,0.0572797228,0.0094395735,1,0.047880481
171,P169-CASE-016,val,posterior_only_calibrated_bayesian_no_neural,control,0.0231449477,0.0496394044,0.0572797228,0.0250239254,1,0.0595687449
171,P169-CASE-016,val,grid_least_squares_source_closure_control,control,0.0231449579,0.0496394261,0.0572797439,0.0250239554,0,0.0775687841
171,P169-CASE-016,val,no_closure_source_control,control,0.0291153689,0.0620432046,0.0658737785,0.115,0,0.1543613877
171,P169-CASE-016,val,wrong_source_prior_control,control,1.113107995,2.206766616,2.696027442,0.2557530512,0,2.035878851
171,P169-CASE-016,val,data_only_sensor_regression_control,control,2.596738452,5.877447051,4.115542045,0.115,0,4.290032067
171,P169-CASE-016,val,fixed_nominal_source_closure_control,control,0.7357076577,1.280029956,1.640339628,1.306494307,0,2.155618342
171,P169-CASE-018,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0238079534,0.0478609128,0.0588002985,0.0278482125,0.6666666667,0.0648129919
171,P169-CASE-018,test,posterior_only_calibrated_bayesian_no_neural,control,0.0238079534,0.0478609128,0.0588002985,0.0271784019,0.6666666667,0.0643106339
171,P169-CASE-018,test,grid_least_squares_source_closure_control,control,0.0238808581,0.0480189797,0.0589637589,0.027396509,0,0.0799284117
171,P169-CASE-018,test,no_closure_source_control,control,0.0238921238,0.0474049378,0.058541857,0.035,0,0.085477297
171,P169-CASE-018,test,wrong_source_prior_control,control,1.083016565,2.107822894,2.682695213,0.267605268,0,1.993554616
171,P169-CASE-018,test,data_only_sensor_regression_control,control,2.524868144,5.703485667,3.912054016,0.035,0,4.103020679
171,P169-CASE-018,test,fixed_nominal_source_closure_control,control,0.7198661364,1.230031196,1.640151969,1.285827912,0,2.114258507
171,P169-CASE-020,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0217188269,0.0314937937,0.0528235631,0.0341803187,0.6666666667,0.0636018476
171,P169-CASE-020,test,posterior_only_calibrated_bayesian_no_neural,control,0.0217188269,0.0314937937,0.0528235631,0.0440369387,0.6666666667,0.0709943126
171,P169-CASE-020,test,grid_least_squares_source_closure_control,control,0.021718827,0.031493794,0.0528235635,0.0440369391,0,0.0863276465
171,P169-CASE-020,test,no_closure_source_control,control,0.0289846931,0.04693115,0.0617205008,0.115,0,0.1507929732
171,P169-CASE-020,test,wrong_source_prior_control,control,0.910433796,1.446693148,2.026465602,1.009164276,0,2.179292193
171,P169-CASE-020,test,data_only_sensor_regression_control,control,2.342480806,5.005382225,3.344771966,0.115,0,3.784284448
171,P169-CASE-020,test,fixed_nominal_source_closure_control,control,0.5348147561,0.8268343187,1.247589341,0.7182960279,0,1.383662575
171,P169-CASE-023,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.015210918,0.0282693709,0.0371619939,0.0403691564,1,0.0568578589
171,P169-CASE-023,val,posterior_only_calibrated_bayesian_no_neural,control,0.015210918,0.0282693709,0.0371619939,0.0096420066,1,0.0338124965
171,P169-CASE-023,val,grid_least_squares_source_closure_control,control,0.0250119968,0.0501302164,0.0589595164,0.02147914,0,0.0770433468
171,P169-CASE-023,val,no_closure_source_control,control,0.0226193181,0.0277394635,0.0472379808,0.105,0,0.1316410089
171,P169-CASE-023,val,wrong_source_prior_control,control,0.89161876,1.48085251,1.997769477,0.8336900487,0,2.032833746
171,P169-CASE-023,val,data_only_sensor_regression_control,control,2.275509926,4.890524777,3.091050912,0.105,0,3.661469972
171,P169-CASE-023,val,fixed_nominal_source_closure_control,control,0.5225217607,0.8312415272,1.206930319,0.7062774211,0,1.359171164
171,P169-CASE-025,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0173179721,0.0345003153,0.0315544264,0.0263535506,1,0.0491386407
171,P169-CASE-025,val,posterior_only_calibrated_bayesian_no_neural,control,0.0173179721,0.0345003153,0.0315544264,0.0177219141,1,0.0426649133
171,P169-CASE-025,val,grid_least_squares_source_closure_control,control,0.0173224845,0.03451037,0.0315618938,0.0177085075,0,0.0606621285
171,P169-CASE-025,val,no_closure_source_control,control,0.0178699071,0.0342847969,0.0355990642,0.045,0,0.0820367728
171,P169-CASE-025,val,wrong_source_prior_control,control,0.727164987,0.9681152101,1.437596027,1.343329845,0,2.092045015
171,P169-CASE-025,val,data_only_sensor_regression_control,control,2.018200567,4.058104064,2.408154843,0.045,0,3.124386864
171,P169-CASE-025,val,fixed_nominal_source_closure_control,control,0.4623558881,0.7529010814,1.089993067,0.0026741691,0,0.7439410379
171,P169-CASE-027,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0170272617,0.0242109565,0.0373560868,0.0176934974,1,0.0408751847
171,P169-CASE-027,test,posterior_only_calibrated_bayesian_no_neural,control,0.0170272617,0.0242109565,0.0373560868,0.0106611533,1,0.0356009267
171,P169-CASE-027,test,grid_least_squares_source_closure_control,control,0.0170276333,0.0242115917,0.0373568393,0.0106622372,0,0.0536023135
171,P169-CASE-027,test,no_closure_source_control,control,0.0216138934,0.0262758617,0.0299838979,0.105,0,0.1286174555
171,P169-CASE-027,test,wrong_source_prior_control,control,0.7247036475,0.9815001468,1.408083904,1.302853363,0,2.058952089
171,P169-CASE-027,test,data_only_sensor_regression_control,control,2.010529037,4.009626529,2.41191483,0.105,0,3.152395826
171,P169-CASE-027,test,fixed_nominal_source_closure_control,control,0.4581458044,0.7278904482,1.086746445,0.0240442444,0,0.7504317218
171,P169-CASE-029,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0112669069,0.0152996445,0.0239724394,0.0073603135,1,0.0242443149
171,P169-CASE-029,test,posterior_only_calibrated_bayesian_no_neural,control,0.0112669069,0.0152996445,0.0239724394,0.0146317863,1,0.0296979195
171,P169-CASE-029,test,grid_least_squares_source_closure_control,control,0.0112669069,0.0152996445,0.0239724394,0.0146317863,0,0.0476979195
171,P169-CASE-029,test,no_closure_source_control,control,0.0129021661,0.0181891857,0.0278095789,0.045,0,0.0730709611
171,P169-CASE-029,test,wrong_source_prior_control,control,0.5730077432,0.6890651409,0.9338970139,1.424848257,0,1.892846666
171,P169-CASE-029,test,data_only_sensor_regression_control,control,1.674132161,3.093345929,1.553895224,0.045,0,2.501940869
171,P169-CASE-029,test,fixed_nominal_source_closure_control,control,0.5149361948,0.8513868361,1.127871626,0.7756460146,0,1.399735235
171,P169-CASE-033,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0310411635,0.0665314303,0.0836402478,0.0103489468,1,0.0624731845
171,P169-CASE-033,test,posterior_only_calibrated_bayesian_no_neural,control,0.0310411635,0.0665314303,0.0836402478,0.0205702461,1,0.0701391589
171,P169-CASE-033,test,grid_least_squares_source_closure_control,control,0.0310411635,0.0665314303,0.0836402478,0.0205702461,0,0.0881391589
171,P169-CASE-033,test,no_closure_source_control,control,0.0322887187,0.0711920688,0.0877675094,0.045,0,0.1090538834
171,P169-CASE-033,test,wrong_source_prior_control,control,1.134857723,2.266774232,2.865431881,0.0837820939,0,1.957592328
171,P169-CASE-033,test,data_only_sensor_regression_control,control,2.630648353,5.946501428,4.510745105,0.045,0,4.324773148
171,P169-CASE-033,test,fixed_nominal_source_closure_control,control,0.4896782142,0.9480629489,1.178074072,0.5923844867,0,1.261386576
171,P169-CASE-038,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0270133759,0.0450956831,0.0653306825,0.0618127855,0.6666666667,0.0935918366
171,P169-CASE-038,val,posterior_only_calibrated_bayesian_no_neural,control,0.0270133759,0.0450956831,0.0653306825,0.0597076591,0.6666666667,0.0920129918
171,P169-CASE-038,val,grid_least_squares_source_closure_control,control,0.0270323854,0.0451252544,0.065372443,0.0597595482,0,0.1074143417
171,P169-CASE-038,val,no_closure_source_control,control,0.0269999652,0.0468877694,0.0667648316,0.035,0,0.0893040022
171,P169-CASE-038,val,wrong_source_prior_control,control,0.9200303217,1.541364354,2.054882508,0.8383989903,0,2.082590686
171,P169-CASE-038,val,data_only_sensor_regression_control,control,2.336781879,5.032201567,3.421968127,0.035,0,3.731669005
171,P169-CASE-038,val,fixed_nominal_source_closure_control,control,0.1598928769,0.2797759459,0.3482607083,0.2651293556,0,0.4695211537
171,P169-CASE-040,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.019651034,0.0286308575,0.0443498478,0.0033388512,1,0.0343163286
171,P169-CASE-040,val,posterior_only_calibrated_bayesian_no_neural,control,0.019651034,0.0286308575,0.0443498478,0.0057367289,1,0.0361147369
171,P169-CASE-040,val,grid_least_squares_source_closure_control,control,0.0207821773,0.0308314309,0.0469492078,0.0098243571,0,0.0590116521
171,P169-CASE-040,val,no_closure_source_control,control,0.0249055698,0.0354503721,0.056644203,0.115,0,0.1439100645
171,P169-CASE-040,val,wrong_source_prior_control,control,0.6947625272,0.9508928352,1.360272559,1.046758155,0,1.826036967
171,P169-CASE-040,val,data_only_sensor_regression_control,control,1.913376657,3.861457919,2.150029284,0.115,0,3.006921169
171,P169-CASE-040,val,fixed_nominal_source_closure_control,control,0.1327407626,0.2113118635,0.2795655804,0.2531335855,0,0.4128098825
171,P169-CASE-042,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0211845743,0.0375538218,0.0490927587,0.0157521302,0.6666666667,0.0500853788
171,P169-CASE-042,test,posterior_only_calibrated_bayesian_no_neural,control,0.0211845743,0.0375538218,0.0490927587,0.0363325872,0.6666666667,0.0655207216
171,P169-CASE-042,test,grid_least_squares_source_closure_control,control,0.0211845743,0.0375538218,0.0490927587,0.0363325872,0,0.080854055
171,P169-CASE-042,test,no_closure_source_control,control,0.0211126764,0.0353176711,0.0429566565,0.035,0,0.0787218763
171,P169-CASE-042,test,wrong_source_prior_control,control,0.7213833696,1.007521733,1.381729287,1.079065509,0,1.890359777
171,P169-CASE-042,test,data_only_sensor_regression_control,control,1.988249945,3.984814634,2.23818891,0.035,0,3.055281763
171,P169-CASE-042,test,fixed_nominal_source_closure_control,control,0.1379178514,0.2277475259,0.2836926614,0.2869879632,0,0.4470775951
171,P169-CASE-044,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0130257881,0.0153594584,0.0250390727,0.0209872151,1,0.0363419984
171,P169-CASE-044,test,posterior_only_calibrated_bayesian_no_neural,control,0.0130257881,0.0153594584,0.0250390727,0.012622139,1,0.0300681913
171,P169-CASE-044,test,grid_least_squares_source_closure_control,control,0.0130257881,0.0153594584,0.0250390727,0.012622139,0,0.0480681913
171,P169-CASE-044,test,no_closure_source_control,control,0.0205591514,0.0242524179,0.0386867041,0.115,0,0.1355283053
171,P169-CASE-044,test,wrong_source_prior_control,control,0.5340167775,0.6369450552,0.9102618444,1.173341861,0,1.652438369
171,P169-CASE-044,test,data_only_sensor_regression_control,control,1.554851503,2.88972687,1.483464082,0.115,0,2.387393286
171,P169-CASE-044,test,fixed_nominal_source_closure_control,control,0.3448732651,0.5140906574,0.6745267294,0.7476103006,0,1.095851795
171,P169-CASE-047,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0154465566,0.0258673352,0.0301872436,0.0580990483,0.6666666667,0.0718797008
171,P169-CASE-047,val,posterior_only_calibrated_bayesian_no_neural,control,0.0154465566,0.0258673352,0.0301872436,0.0269922637,0.6666666667,0.0485496124
171,P169-CASE-047,val,grid_least_squares_source_closure_control,control,0.0154465566,0.0258673352,0.0301872436,0.0269922637,0,0.0638829457
171,P169-CASE-047,val,no_closure_source_control,control,0.0180613684,0.0263167395,0.0254214557,0.105,0,0.1246168619
171,P169-CASE-047,val,wrong_source_prior_control,control,0.5701871199,0.6513115223,0.9496629347,1.275518724,0,1.772054761
171,P169-CASE-047,val,data_only_sensor_regression_control,control,1.64169888,3.064653118,1.527333824,0.105,0,2.506112886
171,P169-CASE-047,val,fixed_nominal_source_closure_control,control,0.3652942655,0.5481167385,0.7016870815,0.7804956474,0,1.150458057
171,P169-CASE-048,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.051091359,0.1038099283,0.1377770936,0.0068775006,1,0.0927891795
171,P169-CASE-048,test,posterior_only_calibrated_bayesian_no_neural,control,0.051091359,0.1038099283,0.1377770936,0.013674332,1,0.097886803
171,P169-CASE-048,test,grid_least_squares_source_closure_control,control,0.0510923462,0.1038109783,0.1377794006,0.0136779565,0,0.1158909493
171,P169-CASE-048,test,no_closure_source_control,control,0.0537095177,0.100272371,0.1321767033,0.115,0,0.1932316622
171,P169-CASE-048,test,wrong_source_prior_control,control,1.007763698,2.024747794,2.560516949,0.0263906537,0,1.708557942
171,P169-CASE-048,test,data_only_sensor_regression_control,control,2.502150302,5.670515262,4.285210358,0.115,0,4.17102439
171,P169-CASE-048,test,fixed_nominal_source_closure_control,control,0.8551258752,1.634041186,1.979944004,0.5781503664,0,1.833541288
171,P169-CASE-051,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0439291308,0.0858992882,0.1167229656,0.0028317118,1,0.0769050689
171,P169-CASE-051,val,posterior_only_calibrated_bayesian_no_neural,control,0.0439291308,0.0858992882,0.1167229656,0.0009911436,1,0.0755246428
171,P169-CASE-051,val,grid_least_squares_source_closure_control,control,0.0535609069,0.1053654514,0.1429163413,0.0001592841,0,0.1090450944
171,P169-CASE-051,val,no_closure_source_control,control,0.0545348147,0.1107012661,0.1485170611,0.105,0,0.1902767741
171,P169-CASE-051,val,wrong_source_prior_control,control,1.05963709,2.000672293,2.720964458,0.0204796993,0,1.767227769
171,P169-CASE-051,val,data_only_sensor_regression_control,control,2.618384447,5.956528944,4.313341471,0.105,0,4.339774383
171,P169-CASE-051,val,fixed_nominal_source_closure_control,control,0.8904915657,1.682321126,2.048413224,0.6110492183,0,1.910084027
171,P169-CASE-053,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0423255741,0.07138288,0.1047346417,0.0106782495,1,0.0770843014
171,P169-CASE-053,val,posterior_only_calibrated_bayesian_no_neural,control,0.0423255741,0.07138288,0.1047346417,0.0159095119,1,0.0810077482
171,P169-CASE-053,val,grid_least_squares_source_closure_control,control,0.0423296091,0.0713889447,0.1047420493,0.0159231783,0,0.0990239867
171,P169-CASE-053,val,no_closure_source_control,control,0.0426356203,0.0687966533,0.1000136573,0.045,0,0.1201463167
171,P169-CASE-053,val,wrong_source_prior_control,control,0.8097702819,1.310959751,1.852352621,0.6155512247,0,1.738860913
171,P169-CASE-053,val,data_only_sensor_regression_control,control,2.200742542,4.745820966,3.110259064,0.045,0,3.514682641
171,P169-CASE-053,val,fixed_nominal_source_closure_control,control,0.6405351999,1.116387573,1.440453079,0.5607044033,0,1.448386325
171,P169-CASE-055,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0437784718,0.0806562765,0.103791826,0.0099072942,0.6666666667,0.082386047
171,P169-CASE-055,test,posterior_only_calibrated_bayesian_no_neural,control,0.0437784718,0.0806562765,0.103791826,0.0257756872,0.6666666667,0.0942873418
171,P169-CASE-055,test,grid_least_squares_source_closure_control,control,0.0439686492,0.0810338033,0.1042260796,0.0255672117,0,0.1097734266
171,P169-CASE-055,test,no_closure_source_control,control,0.0456891532,0.0880670107,0.1143349876,0.105,0,0.1734860541
171,P169-CASE-055,test,wrong_source_prior_control,control,0.8427607326,1.416646601,1.907249031,0.5998989008,0,1.786739132
171,P169-CASE-055,test,data_only_sensor_regression_control,control,2.291152442,4.926658618,3.263319983,0.105,0,3.701566164
171,P169-CASE-055,test,fixed_nominal_source_closure_control,control,0.6639768609,1.223011014,1.512871486,0.6214976544,0,1.545989453
171,P169-CASE-057,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0303290303,0.043640959,0.067597845,0.0346291005,1,0.0737888319
171,P169-CASE-057,test,posterior_only_calibrated_bayesian_no_neural,control,0.0303290303,0.043640959,0.067597845,0.0463627941,1,0.0825891021
171,P169-CASE-057,test,grid_least_squares_source_closure_control,control,0.0311177113,0.0444021523,0.0687430088,0.0514067725,0,0.105427522
171,P169-CASE-057,test,no_closure_source_control,control,0.0311072409,0.0449188929,0.0692924115,0.045,0,0.1007702606
171,P169-CASE-057,test,wrong_source_prior_control,control,0.6258951475,0.8890584335,1.231459789,0.8018234511,0,1.548220401
171,P169-CASE-057,test,data_only_sensor_regression_control,control,1.848111537,3.724032389,2.170683966,0.045,0,2.863736411
171,P169-CASE-057,test,fixed_nominal_source_closure_control,control,0.5204799784,0.8401408261,1.206022797,0.6969990947,0,1.351859744
171,P169-CASE-062,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.014745548,0.0179540334,0.0294082096,0.0342866056,1,0.0489921298
171,P169-CASE-062,val,posterior_only_calibrated_bayesian_no_neural,control,0.014745548,0.0179540334,0.0294082096,0.0217543204,1,0.039592916
171,P169-CASE-062,val,grid_least_squares_source_closure_control,control,0.0279905329,0.0354711613,0.0571443012,0.0376102829,0,0.0890069075
171,P169-CASE-062,val,no_closure_source_control,control,0.0279934107,0.0356496913,0.0574296551,0.035,0,0.0871163145
171,P169-CASE-062,val,wrong_source_prior_control,control,0.5378313235,0.6777266025,0.9163423679,0.9679401957,0,1.510966028
171,P169-CASE-062,val,data_only_sensor_regression_control,control,1.527388731,2.883818669,1.488684107,0.035,0,2.299270875
171,P169-CASE-062,val,fixed_nominal_source_closure_control,control,0.5270904816,0.7847534362,1.155448961,0.9097868966,0,1.501926237
171,P169-CASE-066,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0212165943,0.0388672238,0.0570936475,0.020455993,0.6666666667,0.0547080652
171,P169-CASE-066,val,posterior_only_calibrated_bayesian_no_neural,control,0.0212165943,0.0388672238,0.0570936475,0.0300568135,0.6666666667,0.0619086805
171,P169-CASE-066,val,grid_least_squares_source_closure_control,control,0.0212165943,0.0388672238,0.0570936475,0.0300568135,0,0.0772420139
171,P169-CASE-066,val,no_closure_source_control,control,0.0212734875,0.0390451385,0.0572763901,0.035,0,0.0810601542
171,P169-CASE-066,val,wrong_source_prior_control,control,1.011068895,1.912640854,2.568990541,0.0180035691,0,1.683998796
171,P169-CASE-066,val,data_only_sensor_regression_control,control,2.451086824,5.604942139,4.12479232,0.035,0,4.030804484
171,P169-CASE-066,val,fixed_nominal_source_closure_control,control,1.393826566,2.795610179,3.069220857,1.60674887,0,3.48493234
171,P169-CASE-068,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0205728991,0.0425639607,0.0444723852,0.0351417718,1,0.0618892587
171,P169-CASE-068,val,posterior_only_calibrated_bayesian_no_neural,control,0.0205728991,0.0425639607,0.0444723852,0.0226055503,1,0.0524870925
171,P169-CASE-068,val,grid_least_squares_source_closure_control,control,0.0205737526,0.0425659379,0.0444743992,0.0226039374,0,0.0704873332
171,P169-CASE-068,val,no_closure_source_control,control,0.0257963421,0.0425398115,0.0417160057,0.115,0,0.144725905
171,P169-CASE-068,val,wrong_source_prior_control,control,0.7798840452,1.309753579,1.744433787,0.3705079455,0,1.514159099
171,P169-CASE-068,val,data_only_sensor_regression_control,control,2.084919113,4.523164499,2.80353975,0.115,0,3.376155988
171,P169-CASE-068,val,fixed_nominal_source_closure_control,control,1.125910241,2.134414417,2.383228795,1.384259295,0,2.849310475
171,P169-CASE-070,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.013604685,0.0250551412,0.0340677994,0.0040124262,1,0.0270318129
171,P169-CASE-070,test,posterior_only_calibrated_bayesian_no_neural,control,0.013604685,0.0250551412,0.0340677994,0.0051287176,1,0.0278690315
171,P169-CASE-070,test,grid_least_squares_source_closure_control,control,0.022228495,0.0389697994,0.0507988261,0.0235990483,0,0.0728016237
171,P169-CASE-070,test,no_closure_source_control,control,0.019761214,0.039861232,0.0459357587,0.035,0,0.0785770363
171,P169-CASE-070,test,wrong_source_prior_control,control,0.7988109068,1.424567927,1.810525304,0.3107322869,0,1.517826238
