target,target_min,target_max,target_range,selected_feature_profile,selected_validation_method,selected_validation_rmse,selected_validation_normalized_rmse,selected_test_rmse,selected_test_normalized_rmse,mean_validation_rmse,mean_test_rmse,xypt_guard_validation_rmse,xypt_guard_test_rmse,shortcut_validation_rmse,validation_gain_over_mean,validation_gain_over_xypt_guard,test_gain_over_mean,test_gain_over_xypt_guard,baseline_visible_gap,beats_xypt_guard,shortcut_detected,zero_variance_target,physical_priority,status,phase114_candidate
target_intensity_std,25.095077,34.406437,9.311360,gcode_all,knn,1.926496,0.393570,1.936887,0.376081,2.104431,2.215968,1.991487,2.100086,0.549705,0.084553,0.032635,0.125941,0.077710,true,true,true,false,1,blocked_layer_time_strategy_shortcut,false
target_center_periphery_contrast,10.982026,33.604069,22.622043,gcode_strategy_params,extra_trees,1.519917,0.331005,1.577709,0.280922,1.592342,1.616620,1.325651,1.416268,0.973120,0.045484,-0.146543,0.024070,-0.113991,true,false,true,false,0,blocked_no_gain_over_xypt_guard,false
target_grid_mean_range,52.832053,80.165131,27.333078,gcode_strategy_params,hist_gradient_boosting,3.671388,0.321676,3.694254,0.267845,3.763895,3.969936,3.889820,3.663410,2.427162,0.024577,0.056155,0.069442,-0.008420,false,true,true,false,2,blocked_no_baseline_visible_gap,false
target_quadrant_contrast,12.723776,39.768640,27.044864,gcode_strategy_params,hist_gradient_boosting,2.988414,0.370408,2.932695,0.408962,2.947129,2.918145,3.047936,3.085113,1.952101,-0.014008,0.019529,-0.004986,0.049404,false,false,true,false,3,blocked_no_baseline_visible_gap,false
