target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_intensity_std,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.696886,0.652524,0.025680,0.135313,0.572585,0.696886
target_intensity_std,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.899086,0.543364,0.031828,0.099815,1.533273,0.899086
target_intensity_std,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.549705,0.516755,0.020228,0.112301,0.399272,0.549705
target_center_periphery_contrast,mean_guard,mean,constant:mean:fit=train,test,26,1.616620,1.327491,0.060644,0.287850,2.008482,1.616620
target_center_periphery_contrast,mean_guard,mean,constant:mean:fit=train,train,76,2.475157,1.285895,0.089818,0.109414,4.041212,2.475157
target_center_periphery_contrast,mean_guard,mean,constant:mean:fit=train,val,26,1.592342,1.226242,0.060294,0.346778,0.849047,1.592342
target_center_periphery_contrast,xypt_guard,knn,model:knn:fit=train,test,26,2.570432,1.686329,0.096424,0.457683,5.367647,2.570432
target_center_periphery_contrast,xypt_guard,knn,model:knn:fit=train,train,76,1.788265,1.149136,0.064892,0.079050,2.489343,1.788265
target_center_periphery_contrast,xypt_guard,knn,model:knn:fit=train,val,26,2.457760,1.851985,0.093063,0.535247,3.605479,2.457760
target_center_periphery_contrast,xypt_guard,extra_trees,model:extra_trees:fit=train,test,26,1.416268,1.077869,0.053128,0.252176,2.750770,1.416268
target_center_periphery_contrast,xypt_guard,extra_trees,model:extra_trees:fit=train,train,76,1.652154,1.110876,0.059953,0.073033,1.902075,1.652154
target_center_periphery_contrast,xypt_guard,extra_trees,model:extra_trees:fit=train,val,26,1.325651,1.033219,0.050196,0.288698,0.948237,1.325651
target_center_periphery_contrast,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.443336,1.140068,0.054144,0.256996,2.444725,1.443336
target_center_periphery_contrast,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.101879,1.252178,0.076273,0.092913,2.954464,2.101879
target_center_periphery_contrast,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.587448,1.310006,0.060109,0.345712,0.843284,1.587448
target_center_periphery_contrast,gcode_layer_path,knn,model:knn:fit=train,test,26,2.032349,1.624647,0.076239,0.361873,2.308168,2.032349
