target,row_count,phase117_candidate,phase118_selected_target,viable_split_reviews,passed_split_reviews,split_pass_rate,negative_control_dominant_splits,dependency_risk_rows,blocking_audit_rows,blocking_audits,original_best_admissible_profile,original_best_admissible_method,original_best_admissible_val_rmse,original_best_admissible_test_rmse,original_best_negative_profile,original_best_negative_method,focused_review_status,mechanism_allowed,reason
Corrected-Total-Energy-Yield-kJ,365,true,false,10,10,1.000000000,10,2,2,"[""original_split_negative_control_dominance"", ""target_family_dependency""]",cell_pretest,hist_gradient_boosting,15.017079613,7.802794105,target_family_leakage,extra_trees,closed_focused_review_blocked,false,"blocked by original_split_negative_control_dominance, target_family_dependency"
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,365,true,false,10,10,1.000000000,10,2,2,"[""original_split_negative_control_dominance"", ""target_family_dependency""]",cell_pretest,hist_gradient_boosting,13.493712581,7.048447216,target_family_leakage,extra_trees,closed_focused_review_blocked,false,"blocked by original_split_negative_control_dominance, target_family_dependency"
Baseline-Total-Energy-Yield-kJ,365,true,false,10,10,1.000000000,10,2,2,"[""original_split_negative_control_dominance"", ""target_family_dependency""]",cell_pretest,hist_gradient_boosting,13.973461489,6.697092460,target_family_leakage,extra_trees,closed_focused_review_blocked,false,"blocked by original_split_negative_control_dominance, target_family_dependency"
Energy-Percent-Positive-Ejecta-%,364,true,false,10,4,0.400000000,9,0,2,"[""original_split_negative_control_dominance"", ""split_sensitivity_pass_rate""]",cell_trigger_safe,knn,24.687536899,19.325998102,target_family_leakage,knn,closed_focused_review_blocked,false,"blocked by original_split_negative_control_dominance, split_sensitivity_pass_rate"
Post-Test-Mass-Unrecovered-g,365,true,true,10,8,0.800000000,3,3,2,"[""original_split_negative_control_dominance"", ""target_family_dependency""]",cell_trigger_safe,hist_gradient_boosting,4.284535505,2.472577417,target_family_plus_shortcuts,hist_gradient_boosting,closed_focused_review_blocked,false,"blocked by original_split_negative_control_dominance, target_family_dependency"
