target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase124_guard_profile,phase124_guard_method,phase124_guard_val_rmse,phase124_guard_test_rmse,phase124_nearest_neighbor_val_rmse,phase124_nearest_neighbor_test_rmse,phase123_selected_profile,phase123_selected_method,phase123_selected_val_rmse,phase123_selected_test_rmse,val_gain_vs_phase124,relative_val_gain_vs_phase124,test_gain_vs_phase124,test_reversal_ratio_vs_phase124,val_gain_vs_phase123,test_gain_vs_phase123,clears_phase124_validation_guard,clears_phase124_test_guard,selected_low_capacity
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,18,1.202074117,1.098050793,1.410060868,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.381377469,-0.532149664,-0.356960817,1.338961922,-0.381377469,-0.356960817,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,18,1.202074353,1.098062658,1.410069611,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.381389334,-0.532166220,-0.356969560,1.338970224,-0.381389334,-0.356969560,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,18,1.202080751,1.098174464,1.410121753,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.381501140,-0.532322227,-0.357021702,1.339019736,-0.381501140,-0.357021702,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,18,1.202095701,1.098301997,1.410233674,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.381628673,-0.532500178,-0.357133622,1.339126014,-0.381628673,-0.357133622,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,18,1.202119431,1.098443664,1.410338852,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.381770340,-0.532697852,-0.357238801,1.339225889,-0.381770340,-0.357238801,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,18,1.202553486,1.099725144,1.411324542,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.383051820,-0.534485947,-0.358224490,1.340161877,-0.383051820,-0.358224490,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,18,1.203327671,1.101187417,1.413786557,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.384514093,-0.536526308,-0.360686506,1.342499751,-0.384514093,-0.360686506,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,18,1.203937269,1.102307283,1.414840875,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.385633959,-0.538088898,-0.361740823,1.343500907,-0.385633959,-0.361740823,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,18,1.209545787,1.111104897,1.418580052,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.394431573,-0.550364524,-0.365480001,1.347051546,-0.394431573,-0.365480001,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,18,1.217232312,1.124966399,1.420242518,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.408293075,-0.569705975,-0.367142467,1.348630186,-0.408293075,-0.367142467,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,18,1.223762009,1.133884547,1.427300269,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.417211223,-0.582149787,-0.374200217,1.355332066,-0.417211223,-0.374200217,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,18,1.276017042,1.206385800,1.480704110,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.489712476,-0.683313387,-0.427604059,1.406043147,-0.489712476,-0.427604059,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1.000000000,0.500000000,18,1.376772148,1.324467311,1.583686976,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.607793987,-0.848076756,-0.530586925,1.503833348,-0.607793987,-0.530586925,false,false,false
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1.000000000,0.800000000,18,1.409519222,1.360703707,1.611991946,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.644030383,-0.898638698,-0.558891894,1.530711107,-0.644030383,-0.558891894,false,false,false
gap_expt_ev,descriptor_linear,huber,huber;alpha=1e-05,0.000010000,,18,1.314172514,1.227950551,1.560096126,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.511277227,-0.713403457,-0.506996075,1.481432011,-0.511277227,-0.506996075,false,false,false
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.001,0.001000000,,18,1.314172492,1.227950566,1.560096113,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.511277242,-0.713403478,-0.506996061,1.481431998,-0.511277242,-0.506996061,false,false,false
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.1,0.100000000,,18,1.314179976,1.227961489,1.560090699,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.511288165,-0.713418719,-0.506990647,1.481426857,-0.511288165,-0.506990647,false,false,false
gap_expt_ev,ionicity_proxy,ordinary_least_squares,ordinary_least_squares,,,16,1.189340376,1.116160098,1.422353378,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399486774,-0.557418227,-0.369253327,1.350634611,-0.399486774,-0.369253327,false,false,false
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1e-06,0.000001000,,16,1.189340376,1.116160098,1.422353378,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399486774,-0.557418227,-0.369253327,1.350634611,-0.399486774,-0.369253327,false,false,false
