target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,train,2674,18,1.202073965,0.846648884,0.272688630,0.852825521
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,val,944,18,1.098039417,0.747837898,0.348523681,0.779016986
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,test,986,18,1.410050793,0.966670386,0.222913542,1.000377129
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,train,2674,18,1.202074117,0.846636935,0.272688447,0.852825628
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,val,944,18,1.098050793,0.747851588,0.348510182,0.779025057
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,test,986,18,1.410060868,0.966663813,0.222902436,1.000384277
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,train,2674,18,1.202074353,0.846625195,0.272688161,0.852825796
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,val,944,18,1.098062658,0.747866470,0.348496103,0.779033475
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,test,986,18,1.410069611,0.966656397,0.222892800,1.000390480
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,train,2674,18,1.202080751,0.846512989,0.272680419,0.852830335
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,val,944,18,1.098174464,0.747967726,0.348363422,0.779112797
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,test,986,18,1.410121753,0.966523893,0.222835327,1.000427472
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,train,2674,18,1.202095701,0.846407307,0.272662328,0.852840942
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,val,944,18,1.098301997,0.748104504,0.348212062,0.779203277
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,test,986,18,1.410233674,0.966484187,0.222711956,1.000506876
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,train,2674,18,1.202119431,0.846318000,0.272633612,0.852857777
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,val,944,18,1.098443664,0.748255702,0.348043905,0.779303785
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,test,986,18,1.410338852,0.966444509,0.222596007,1.000581496
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,train,2674,18,1.202553486,0.845859705,0.272108249,0.853165723
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,val,944,18,1.099725144,0.749190148,0.346521832,0.780212945
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,test,986,18,1.411324542,0.966230037,0.221508968,1.001280805
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,train,2674,18,1.203327671,0.845934461,0.271170737,0.853714978
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,val,944,18,1.101187417,0.750051119,0.344782855,0.781250372
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,test,986,18,1.413786557,0.967249314,0.218790489,1.003027511
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,train,2674,18,1.203937269,0.847391342,0.270432110,0.854147464
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,val,944,18,1.102307283,0.752276688,0.343449515,0.782044874
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,test,986,18,1.414840875,0.968501615,0.217624895,1.003775509
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,train,2674,18,1.209545787,0.853884819,0.263618923,0.858126493
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,val,944,18,1.111104897,0.765698043,0.332927716,0.788286445
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,test,986,18,1.418580052,0.976177532,0.213484069,1.006428312
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,train,2674,18,1.217232312,0.863278614,0.254229949,0.863579789
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,val,944,18,1.124966399,0.785068167,0.316179880,0.798120651
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,test,986,18,1.420242518,0.982870981,0.211639517,1.007607768
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,train,2674,18,1.223762009,0.868245060,0.246207299,0.868212359
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,val,944,18,1.133884547,0.794757237,0.305294966,0.804447735
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,test,986,18,1.427300269,0.989606548,0.203784695,1.012614972
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,train,2674,18,1.276017042,0.955352292,0.180458513,0.905285307
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,val,944,18,1.206385800,0.904325869,0.213615026,0.855884603
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,test,986,18,1.480704110,1.080080676,0.143087673,1.050502956
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1.000000000,0.500000000,train,2674,18,1.376772148,1.076537368,0.045925832,0.976767203
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1.000000000,0.500000000,val,944,18,1.324467311,1.039207258,0.052137676,0.939658921
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1.000000000,0.500000000,test,986,18,1.583686976,1.197446291,0.019746239,1.123565363
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1.000000000,0.800000000,train,2674,18,1.409519222,1.111659645,0.000000000,1.000000000
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1.000000000,0.800000000,val,944,18,1.360703707,1.076982311,-0.000437377,0.965367258
gap_expt_ev,descriptor_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1.000000000,0.800000000,test,986,18,1.611991946,1.229949836,-0.015606710,1.143646656
gap_expt_ev,descriptor_linear,huber,huber;alpha=1e-05,0.000010000,,train,2674,18,1.314172514,0.776596939,0.130713864,0.932355156
gap_expt_ev,descriptor_linear,huber,huber;alpha=1e-05,0.000010000,,val,944,18,1.227950551,0.721098746,0.185249699,0.871183969
gap_expt_ev,descriptor_linear,huber,huber;alpha=1e-05,0.000010000,,test,986,18,1.560096126,0.909317076,0.048732753,1.106828557
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.001,0.001000000,,train,2674,18,1.314172492,0.776596953,0.130713892,0.932355140
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.001,0.001000000,,val,944,18,1.227950566,0.721098805,0.185249680,0.871183980
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.001,0.001000000,,test,986,18,1.560096113,0.909317104,0.048732770,1.106828547
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.1,0.100000000,,train,2674,18,1.314179976,0.776577563,0.130703991,0.932360450
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.1,0.100000000,,val,944,18,1.227961489,0.721094575,0.185235184,0.871191729
gap_expt_ev,descriptor_linear,huber,huber;alpha=0.1,0.100000000,,test,986,18,1.560090699,0.909296306,0.048739373,1.106824706
gap_expt_ev,ionicity_proxy,ordinary_least_squares,ordinary_least_squares,,,train,2674,16,1.189340376,0.845985400,0.288015860,0.843791526
gap_expt_ev,ionicity_proxy,ordinary_least_squares,ordinary_least_squares,,,val,944,16,1.116160098,0.755076719,0.326843943,0.791872917
gap_expt_ev,ionicity_proxy,ordinary_least_squares,ordinary_least_squares,,,test,986,16,1.422353378,0.976106795,0.209294347,1.009105343
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1e-06,0.000001000,,train,2674,16,1.189340376,0.845985400,0.288015860,0.843791526
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1e-06,0.000001000,,val,944,16,1.116160098,0.755076719,0.326843943,0.791872917
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1e-06,0.000001000,,test,986,16,1.422353378,0.976106795,0.209294347,1.009105343
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.0001,0.000100000,,train,2674,16,1.189340376,0.845985400,0.288015860,0.843791526
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.0001,0.000100000,,val,944,16,1.116160098,0.755076726,0.326843942,0.791872917
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.0001,0.000100000,,test,986,16,1.422353376,0.976106792,0.209294349,1.009105341
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.01,0.010000000,,train,2674,16,1.189340376,0.845985468,0.288015860,0.843791526
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.01,0.010000000,,val,944,16,1.116160133,0.755077434,0.326843900,0.791872942
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.01,0.010000000,,test,986,16,1.422353150,0.976106445,0.209294600,1.009105181
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1,1.000000000,,train,2674,16,1.189340629,0.845992343,0.288015557,0.843791706
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1,1.000000000,,val,944,16,1.116163838,0.755147934,0.326839431,0.791875570
