target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_accuracy,test_accuracy,val_log_loss,test_log_loss,majority_val_balanced_accuracy,majority_test_balanced_accuracy,val_balanced_accuracy_gain_vs_majority,test_balanced_accuracy_gain_vs_majority,selected_admissible,selected_negative_control
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,2885,1070,966,0.884630774,0.739383013,0.750911821,0.742990654,0.745341615,1.039084608,0.934260723,0.500000000,0.500000000,0.239383013,0.250911821,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,2885,1070,966,0.846914189,0.753278930,0.749762467,0.759813084,0.740165631,0.529637194,0.537734338,0.500000000,0.500000000,0.253278930,0.249762467,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,all_element_fractions,admissible,knn,2885,1070,966,0.819465365,0.775539108,0.775676587,0.778504673,0.770186335,0.570409146,0.616110335,0.500000000,0.500000000,0.275539108,0.275676587,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,all_element_fractions,admissible,extra_trees,2885,1070,966,0.999662390,0.870990075,0.869479266,0.871962617,0.872670807,0.335953221,0.336891714,0.500000000,0.500000000,0.370990075,0.369479266,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,all_element_fractions,admissible,hist_gradient_boosting,2885,1070,966,0.979581104,0.848722869,0.876160848,0.851401869,0.876811594,0.348343723,0.341582803,0.500000000,0.500000000,0.348722869,0.376160848,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,knn,2885,1070,966,0.892193328,0.823264592,0.832408741,0.825233645,0.830227743,0.564709814,0.554423875,0.500000000,0.500000000,0.323264592,0.332408741,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,extra_trees,2885,1070,966,0.999662390,0.871285285,0.900649769,0.873831776,0.899585921,0.345856889,0.281498508,0.500000000,0.500000000,0.371285285,0.400649769,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,hist_gradient_boosting,2885,1070,966,0.998968655,0.881550832,0.888527906,0.883177570,0.890269151,0.328921565,0.317652030,0.500000000,0.500000000,0.381550832,0.388527906,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,2885,1070,966,0.500000000,0.500000000,0.500000000,0.538317757,0.427536232,0.794891858,0.916597803,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,2885,1070,966,0.532291985,0.500000000,0.500000000,0.538317757,0.427536232,1.194077045,1.459719540,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,2885,1070,966,0.769886030,0.765090812,0.769653968,0.758878505,0.783643892,0.620326717,0.610052952,0.500000000,0.500000000,0.265090812,0.269653968,false,true
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,2885,1070,966,0.776139024,0.727532473,0.719358200,0.733644860,0.702898551,0.580036415,0.517108872,0.500000000,0.500000000,0.227532473,0.219358200,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,3037,991,893,0.899954052,0.852232816,0.864025799,0.852674067,0.864501680,0.543997019,0.440314037,0.500000000,0.500000000,0.352232816,0.364025799,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,3037,991,893,0.999677627,0.888495701,0.887197059,0.889001009,0.886898096,0.315004473,0.300197647,0.500000000,0.500000000,0.388495701,0.387197059,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,3037,991,893,0.999677627,0.892456097,0.869900558,0.893037336,0.870100784,0.346226109,0.329386342,0.500000000,0.500000000,0.392456097,0.369900558,true,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,3037,991,893,0.783852167,0.695980524,0.750549656,0.696266398,0.748040314,1.663836218,1.469683947,0.500000000,0.500000000,0.195980524,0.250549656,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,3037,991,893,0.890683994,0.751774437,0.744450496,0.752774975,0.741321389,0.774472160,1.116283764,0.500000000,0.500000000,0.251774437,0.244450496,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,3037,991,893,0.847645508,0.740109196,0.747029843,0.741675076,0.743561030,0.493261529,0.529781461,0.500000000,0.500000000,0.240109196,0.247029843,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,all_element_fractions,admissible,knn,3037,991,893,0.825651709,0.806013935,0.778612347,0.807265388,0.776035834,0.533290325,0.598220212,0.500000000,0.500000000,0.306013935,0.278612347,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,all_element_fractions,admissible,extra_trees,3037,991,893,0.999677627,0.875508292,0.842553932,0.875882947,0.843225084,0.331141042,0.390502728,0.500000000,0.500000000,0.375508292,0.342553932,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,all_element_fractions,admissible,hist_gradient_boosting,3037,991,893,0.980935757,0.875546999,0.855899468,0.875882947,0.856662934,0.333818783,0.376917887,0.500000000,0.500000000,0.375546999,0.355899468,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,knn,3037,991,893,0.889005530,0.850446156,0.854691739,0.850655903,0.855543113,0.471617444,0.484605425,0.500000000,0.500000000,0.350446156,0.354691739,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,extra_trees,3037,991,893,0.999677627,0.875353461,0.870124958,0.875882947,0.871220605,0.305563821,0.298755398,0.500000000,0.500000000,0.375353461,0.370124958,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,hist_gradient_boosting,3037,991,893,0.999677627,0.883351669,0.886808770,0.883955600,0.885778275,0.341689931,0.334851958,0.500000000,0.500000000,0.383351669,0.386808770,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,3037,991,893,0.500000000,0.500000000,0.500000000,0.509586276,0.463605823,0.971611996,1.045614681,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,3037,991,893,0.546801959,0.500000000,0.500000000,0.509586276,0.463605823,1.262972126,1.373228438,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,3037,991,893,0.777658099,0.740467750,0.775412746,0.738647830,0.780515118,0.626970405,0.582984295,0.500000000,0.500000000,0.240467750,0.275412746,false,true
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,3037,991,893,0.779155201,0.730024854,0.768761409,0.728557013,0.772676372,0.507004211,0.522415364,0.500000000,0.500000000,0.230024854,0.268761409,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,2919,988,1014,0.888355488,0.845057676,0.874403555,0.845141700,0.873767258,0.430796589,0.439074736,0.500000000,0.500000000,0.345057676,0.374403555,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,2919,988,1014,1.000000000,0.878435190,0.896998285,0.880566802,0.896449704,0.290544833,0.261587150,0.500000000,0.500000000,0.378435190,0.396998285,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,2919,988,1014,0.999641577,0.884362251,0.890261968,0.886639676,0.890532544,0.303419633,0.331229777,0.500000000,0.500000000,0.384362251,0.390261968,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,2919,988,1014,0.790395253,0.705566716,0.728910027,0.705465587,0.728796844,0.745648211,0.690339223,0.500000000,0.500000000,0.205566716,0.228910027,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,2919,988,1014,0.894797223,0.753695612,0.724465929,0.758097166,0.725838264,0.918023525,1.297647594,0.500000000,0.500000000,0.253695612,0.224465929,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,2919,988,1014,0.858370728,0.728508708,0.732102760,0.733805668,0.733727811,0.520861267,0.533051587,0.500000000,0.500000000,0.228508708,0.232102760,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,all_element_fractions,admissible,knn,2919,988,1014,0.835194593,0.793627684,0.775896616,0.796558704,0.776134122,0.594064337,0.514090920,0.500000000,0.500000000,0.293627684,0.275896616,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,all_element_fractions,admissible,extra_trees,2919,988,1014,1.000000000,0.862627622,0.853559177,0.863360324,0.852071006,0.323943229,0.352944678,0.500000000,0.500000000,0.362627622,0.353559177,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,all_element_fractions,admissible,hist_gradient_boosting,2919,988,1014,0.975759885,0.865591153,0.851450179,0.866396761,0.851084813,0.308911192,0.367728710,0.500000000,0.500000000,0.365591153,0.351450179,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,knn,2919,988,1014,0.881769114,0.841526705,0.845743022,0.840080972,0.844181460,0.408171330,0.424339717,0.500000000,0.500000000,0.341526705,0.345743022,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,extra_trees,2919,988,1014,1.000000000,0.890850539,0.881771402,0.891700405,0.881656805,0.262921475,0.281143828,0.500000000,0.500000000,0.390850539,0.381771402,true,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,hist_gradient_boosting,2919,988,1014,0.999313493,0.890500549,0.880200374,0.892712551,0.880670611,0.286028849,0.354336767,0.500000000,0.500000000,0.390500549,0.380200374,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,2919,988,1014,0.505017921,0.500000000,0.500000000,0.448380567,0.477317554,0.724601125,0.714864632,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,2919,988,1014,0.787058674,0.500000000,0.500000000,0.448380567,0.477317554,0.724601125,0.714864632,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,2919,988,1014,0.775905230,0.729817549,0.772968969,0.719635628,0.769230769,0.700296614,0.605716040,0.500000000,0.500000000,0.229817549,0.272968969,false,false
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,2919,988,1014,0.780540033,0.731091184,0.772520661,0.722672065,0.769230769,0.570342867,0.485025887,0.500000000,0.500000000,0.231091184,0.272520661,false,true
is_metal,dominant_element_hash,group_hash_by_dominant_element,composition_descriptors,admissible,knn,3626,894,401,0.897506840,0.830732308,0.713949843,0.831096197,0.840399002,0.505088567,0.609973871,0.500000000,0.500000000,0.330732308,0.213949843,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,composition_descriptors,admissible,extra_trees,3626,894,401,1.000000000,0.898352295,0.813078217,0.898210291,0.882793017,0.276440589,0.293284321,0.500000000,0.500000000,0.398352295,0.313078217,true,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,composition_descriptors,admissible,hist_gradient_boosting,3626,894,401,0.999188419,0.896175041,0.817780411,0.895973154,0.890274314,0.305294083,0.415508098,0.500000000,0.500000000,0.396175041,0.317780411,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,common_element_fractions,admissible,knn,3626,894,401,0.788390892,0.668869780,0.748298800,0.667785235,0.758104738,1.197789813,0.626670487,0.500000000,0.500000000,0.168869780,0.248298800,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,common_element_fractions,admissible,extra_trees,3626,894,401,0.887754718,0.725851256,0.707890512,0.724832215,0.708229426,1.040402458,0.852664350,0.500000000,0.500000000,0.225851256,0.207890512,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,common_element_fractions,admissible,hist_gradient_boosting,3626,894,401,0.843567683,0.742581071,0.735759615,0.741610738,0.738154613,0.539526355,0.478793280,0.500000000,0.500000000,0.242581071,0.235759615,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,all_element_fractions,admissible,knn,3626,894,401,0.825430297,0.669262687,0.687151158,0.666666667,0.725685786,1.316164526,0.732668531,0.500000000,0.500000000,0.169262687,0.187151158,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,all_element_fractions,admissible,extra_trees,3626,894,401,1.000000000,0.835587333,0.761870174,0.835570470,0.822942643,0.396766645,0.438017053,0.500000000,0.500000000,0.335587333,0.261870174,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,all_element_fractions,admissible,hist_gradient_boosting,3626,894,401,0.972788568,0.841598555,0.744437648,0.842281879,0.852867830,0.341928799,0.413242040,0.500000000,0.500000000,0.341598555,0.244437648,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,common_plus_descriptors,admissible,knn,3626,894,401,0.885462503,0.760619741,0.748967811,0.759507830,0.852867830,0.864949061,0.533320933,0.500000000,0.500000000,0.260619741,0.248967811,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,common_plus_descriptors,admissible,extra_trees,3626,894,401,1.000000000,0.888294385,0.805241226,0.888143177,0.870324190,0.282990119,0.330110443,0.500000000,0.500000000,0.388294385,0.305241226,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,common_plus_descriptors,admissible,hist_gradient_boosting,3626,894,401,0.998079396,0.869147067,0.785381145,0.869127517,0.860349127,0.319614150,0.426336653,0.500000000,0.500000000,0.369147067,0.285381145,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,composition_hash_shortcut,negative_control,knn,3626,894,401,0.500464132,0.500000000,0.500000000,0.504474273,0.795511222,0.693147181,0.693147181,0.500000000,0.500000000,0.000000000,0.000000000,false,true
is_metal,dominant_element_hash,group_hash_by_dominant_element,chemistry_family_shortcut,negative_control,knn,3626,894,401,0.561653686,0.497742664,0.501567398,0.493288591,0.206982544,1.475808023,2.176223496,0.500000000,0.500000000,-0.002257336,0.001567398,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,dominant_element_shortcut,negative_control,knn,3626,894,401,0.746680501,0.500000000,0.500000000,0.504474273,0.795511222,0.748937369,0.547205928,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,dominant_element_hash,group_hash_by_dominant_element,dominant_element_shortcut,negative_control,extra_trees,3626,894,401,0.762634403,0.500000000,0.500000000,0.504474273,0.795511222,0.849488781,0.509632608,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,composition_descriptors,admissible,knn,2461,1230,1230,0.878905877,0.840400212,0.832506631,0.811382114,0.826016260,0.639472800,0.786063584,0.500000000,0.500000000,0.340400212,0.332506631,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,composition_descriptors,admissible,extra_trees,2461,1230,1230,0.999665552,0.863344198,0.858169761,0.847967480,0.852845528,0.354830819,0.373570030,0.500000000,0.500000000,0.363344198,0.358169761,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,composition_descriptors,admissible,hist_gradient_boosting,2461,1230,1230,0.999665552,0.869210945,0.841432361,0.849593496,0.834959350,0.426257919,0.491762736,0.500000000,0.500000000,0.369210945,0.341432361,true,false
is_metal,element_count_bins,quartile_bins_by_element_count,common_element_fractions,admissible,knn,2461,1230,1230,0.747085523,0.701243083,0.701843501,0.641463415,0.691056911,0.971395718,0.899869528,0.500000000,0.500000000,0.201243083,0.201843501,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,common_element_fractions,admissible,extra_trees,2461,1230,1230,0.891001752,0.635928144,0.608859416,0.648780488,0.609756098,1.444449078,1.483149367,0.500000000,0.500000000,0.135928144,0.108859416,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,common_element_fractions,admissible,hist_gradient_boosting,2461,1230,1230,0.828682911,0.732433866,0.720875332,0.691056911,0.713821138,0.625071602,0.624736854,0.500000000,0.500000000,0.232433866,0.220875332,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,all_element_fractions,admissible,knn,2461,1230,1230,0.826142698,0.740294095,0.707771883,0.660975610,0.693495935,1.057446819,1.099687572,0.500000000,0.500000000,0.240294095,0.207771883,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,all_element_fractions,admissible,extra_trees,2461,1230,1230,0.999665552,0.841067233,0.823063660,0.811382114,0.815447154,0.433996186,0.444202283,0.500000000,0.500000000,0.341067233,0.323063660,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,all_element_fractions,admissible,hist_gradient_boosting,2461,1230,1230,0.978666985,0.852156447,0.835517241,0.838211382,0.830081301,0.413413646,0.454488321,0.500000000,0.500000000,0.352156447,0.335517241,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,common_plus_descriptors,admissible,knn,2461,1230,1230,0.878905877,0.800416888,0.800663130,0.755284553,0.791869919,0.818256317,0.900492610,0.500000000,0.500000000,0.300416888,0.300663130,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,common_plus_descriptors,admissible,extra_trees,2461,1230,1230,0.999665552,0.860623058,0.850822281,0.840650407,0.843902439,0.439062950,0.428165448,0.500000000,0.500000000,0.360623058,0.350822281,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,common_plus_descriptors,admissible,hist_gradient_boosting,2461,1230,1230,0.998964803,0.865019328,0.841458886,0.843902439,0.835772358,0.461293921,0.471030420,0.500000000,0.500000000,0.365019328,0.341458886,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,composition_hash_shortcut,negative_control,knn,2461,1230,1230,0.747276636,0.500000000,0.500000000,0.678861789,0.528455285,0.693147181,0.693147181,0.500000000,0.500000000,0.000000000,0.000000000,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,chemistry_family_shortcut,negative_control,knn,2461,1230,1230,0.541877688,0.512370196,0.520769231,0.340650407,0.493495935,7.975726816,6.098996555,0.500000000,0.500000000,0.012370196,0.020769231,false,false
is_metal,element_count_bins,quartile_bins_by_element_count,dominant_element_shortcut,negative_control,knn,2461,1230,1230,0.742888995,0.783923293,0.807851459,0.800813008,0.807317073,1.047329905,0.909121377,0.500000000,0.500000000,0.283923293,0.307851459,false,true
