target,split_id,split_strategy,split_viable,split_reason,train_rows,val_rows,test_rows,train_target_mean,val_target_mean,test_target_mean,train_target_median,val_target_median,test_target_median,train_target_q90,val_target_q90,test_target_q90,target_mean_shift_z,target_median_shift_z,target_q90_shift_z,target_distribution_shift_z,mean_val_rmse,mean_test_rmse,best_admissible_profile,best_admissible_method,best_admissible_val_rmse,best_admissible_test_rmse,best_admissible_val_gain_vs_mean,best_admissible_test_gain_vs_mean,best_admissible_relative_val_gain,split_pass,best_negative_profile,best_negative_method,best_negative_val_rmse,best_negative_test_rmse,negative_control_dominates,nearest_neighbor_val_rmse,nearest_neighbor_test_rmse,nearest_neighbor_val_gain_vs_mean,nearest_neighbor_test_gain_vs_mean,nearest_neighbor_dominates,val_near_duplicate_fraction,test_near_duplicate_fraction
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,true,ok,403,124,109,110.457963542,110.043494454,124.001574624,82.401500000,81.457572222,66.668562500,209.360486667,188.366778750,140.703830000,0.123137843,0.143043091,0.624222932,0.624222932,104.781107429,218.749457654,composition_lattice_descriptors,hist_gradient_boosting,97.271066169,193.931790096,7.510041260,24.817667558,0.071673620,true,composition_hash_shortcut,knn,108.399022251,222.282542815,false,171.793238278,228.386641244,-67.012130849,-9.637183591,false,0.000000000,0.000000000
exfoliation_en,chemistry_family_hash_0,group_hash_by_chemistry_family_key,false,one or more splits is below minimum row count,434,90,112,,,,,,,,,,,,,,,,,,,,,,,false,,,,,false,,,,,false,,
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,true,ok,357,139,140,110.363213383,109.758108810,121.571999653,75.373027500,86.921111111,78.593258334,200.533793333,165.966576667,253.107707500,0.082584732,0.085084626,0.387357071,0.387357071,122.718477564,140.990857312,composition_lattice_descriptors,extra_trees,80.668457254,112.726484139,42.050020310,28.264373173,0.342654351,true,chemistry_family_shortcut,knn,126.580089471,146.930798272,false,156.744839042,144.734350488,-34.026361478,-3.743493176,false,0.000000000,0.000000000
exfoliation_en,chemistry_family_hash_2,group_hash_by_chemistry_family_key,true,ok,351,160,125,115.503600412,105.652997066,113.839047828,82.335866667,74.622666667,78.529666667,216.902000000,174.444020833,166.101080000,0.069085602,0.054095272,0.356283976,0.356283976,103.841077717,144.024283695,composition_lattice_descriptors,extra_trees,83.766646079,116.438583850,20.074431639,27.585699845,0.193318791,true,chemistry_family_shortcut,knn,106.301131028,147.739343381,false,96.637862271,147.398455155,7.203215447,-3.374171460,false,0.000000000,0.000000000
exfoliation_en,dominant_element_hash,group_hash_by_dominant_element,false,one or more splits is below minimum row count,328,250,58,,,,,,,,,,,,,,,,,,,,,,,false,,,,,false,,,,,false,,
exfoliation_en,lattice_volume_bins,quartile_bins_by_lattice_volume,true,ok,318,159,159,123.295549723,97.940437688,106.261697166,81.593547222,72.306860000,78.034666667,200.463186667,169.414253334,221.384325714,0.156615331,0.057362696,0.191785348,0.191785348,97.193754964,102.910711434,lattice_descriptors,knn,84.080691146,98.619465360,13.113063817,4.291246074,0.134916732,true,chemistry_family_shortcut,knn,93.411649412,101.660745428,false,119.468934974,158.105575868,-22.275180010,-55.194864434,false,0.000000000,0.000000000
exfoliation_en,volume_per_site_bins,quartile_bins_by_volume_per_site,true,ok,318,159,159,143.439253437,88.811776954,75.102950471,94.654971591,72.053833333,49.874333333,250.841208667,119.506728485,88.651250000,0.475966548,0.311899897,1.129663026,1.129663026,87.264482262,164.151088564,composition_lattice_descriptors,knn,69.620158808,160.501266902,17.644323455,3.649821662,0.202193642,true,composition_hash_shortcut,knn,68.067913761,149.878926910,true,155.432683400,217.012607227,-68.168201137,-52.861518662,false,0.000000000,0.000000000
exfoliation_en,element_count_bins,quartile_bins_by_element_count,true,ok,318,159,159,133.084836853,97.881882868,86.741677727,86.836125000,71.898600000,69.558050000,250.572007500,135.887933334,160.346358334,0.313661291,0.116942034,0.776208515,0.776208515,151.833463279,83.408432844,composition_lattice_descriptors,hist_gradient_boosting,144.289732334,64.294503289,7.543730945,19.113929556,0.049684245,false,chemistry_family_shortcut,knn,148.151183593,69.367759153,false,166.645470803,115.391928359,-14.812007524,-31.983495514,false,0.012578616,0.000000000
exfoliation_en,density_anisotropy_bins,quartile_bins_by_density_z_proxy_abc_anisotropy,true,ok,397,114,125,105.141074801,147.688476720,104.789049695,75.791578333,86.100606061,86.870500000,166.924661667,319.134005000,196.040931667,0.318761810,0.083002415,1.140340506,1.140340506,172.347145810,90.611467420,composition_lattice_descriptors,extra_trees,93.440221645,91.636177905,78.906924166,-1.024710485,0.457837139,false,dominant_element_shortcut,extra_trees,171.470963507,93.971734677,false,165.471481177,111.971936244,6.875664634,-21.360468824,false,0.000000000,0.000000000
