split_id,profile,method,role,split,rmse,mae,r2,n_rows
mix_design_hash_0,row_order_control,extra_trees,shortcut_control,val,14.08,11.41,0.3613,182
mix_design_hash_0,row_order_control,extra_trees,shortcut_control,test,11.85,9.358,0.4624,203
mix_design_hash_1,train_mean,mean,mean_baseline,train,17.08,13.64,0,654
mix_design_hash_1,train_mean,mean,mean_baseline,val,14.86,12.29,-0.005898,200
mix_design_hash_1,train_mean,mean,mean_baseline,test,17.23,14.11,-0.007383,176
mix_design_hash_1,raw_mix_age,extra_trees,admissible,train,2.301,1.36,0.9818,654
mix_design_hash_1,raw_mix_age,extra_trees,admissible,val,6,4.323,0.836,200
mix_design_hash_1,raw_mix_age,extra_trees,admissible,test,5.759,4.357,0.8875,176
mix_design_hash_1,raw_mix_age,hist_gradient_boosting,admissible,train,2.508,1.545,0.9784,654
mix_design_hash_1,raw_mix_age,hist_gradient_boosting,admissible,val,5.979,4.316,0.8371,200
mix_design_hash_1,raw_mix_age,hist_gradient_boosting,admissible,test,5.615,4.115,0.893,176
mix_design_hash_1,binder_ratio_age_core,extra_trees,admissible,train,2.438,1.476,0.9796,654
mix_design_hash_1,binder_ratio_age_core,extra_trees,admissible,val,5.43,3.747,0.8657,200
mix_design_hash_1,binder_ratio_age_core,extra_trees,admissible,test,5.458,3.938,0.8989,176
mix_design_hash_1,binder_ratio_age_core,hist_gradient_boosting,admissible,train,2.62,1.708,0.9765,654
mix_design_hash_1,binder_ratio_age_core,hist_gradient_boosting,admissible,val,5.384,3.776,0.8679,200
mix_design_hash_1,binder_ratio_age_core,hist_gradient_boosting,admissible,test,5.547,4.016,0.8956,176
mix_design_hash_1,full_concrete_features,extra_trees,admissible,train,1.894,1.039,0.9877,654
mix_design_hash_1,full_concrete_features,extra_trees,admissible,val,5.734,3.962,0.8502,200
mix_design_hash_1,full_concrete_features,extra_trees,admissible,test,5.176,3.683,0.9091,176
