split_id,split_strategy,gate_review_split,split_viable,reason,train_rows,val_rows,test_rows,group_count,target_distribution_shift_z,mean_validation_rmse,mean_test_rmse,best_admissible_profile,best_admissible_method,best_admissible_validation_rmse,best_admissible_test_rmse,validation_relative_improvement_over_mean,test_relative_improvement_over_mean,baseline_visible_gap,best_shortcut_profile,best_shortcut_method,best_shortcut_validation_rmse,best_shortcut_test_rmse,shortcut_dominant,nearest_neighbor_validation_rmse,nearest_neighbor_test_rmse,nearest_neighbor_dominant,val_near_duplicate_fraction,test_near_duplicate_fraction,phase159_split_pass
phase158_registered_mix_design,group_hash_by_mix_design_key,true,true,ok,652,186,192,428,0.34070542,16.952816,17.089866,full_concrete_features,hist_gradient_boosting,5.6651893,5.366378,0.66582606,0.68599063,true,coarse_mix_presence_control,extra_trees,8.1196411,8.2132992,false,7.5581309,8.145985,false,0.053763441,0.109375,true
mix_design_hash_0,group_hash_by_mix_design_key,true,true,ok,645,182,203,428,0.25279768,17.684652,16.265997,full_concrete_features,hist_gradient_boosting,6.2229925,4.9405492,0.64811337,0.69626521,true,coarse_mix_presence_control,extra_trees,8.4137413,7.569943,false,10.831685,6.3377184,false,0.076923077,0.088669951,true
mix_design_hash_1,group_hash_by_mix_design_key,true,true,ok,654,200,176,428,0.26652374,14.859307,17.23018,binder_ratio_age_core,hist_gradient_boosting,5.3844812,5.5472347,0.63763578,0.67805126,true,coarse_mix_presence_control,extra_trees,8.4584623,8.1295331,false,8.9828023,10.194917,false,0.05,0.11363636,true
mix_design_hash_2,group_hash_by_mix_design_key,true,true,ok,647,216,167,428,0.3807168,18.766202,14.94121,raw_mix_age,hist_gradient_boosting,4.7967403,6.1392577,0.74439472,0.58910571,true,coarse_mix_presence_control,extra_trees,8.3389174,7.9968132,false,8.812768,9.0246713,false,0.078703704,0.077844311,true
mix_design_hash_3,group_hash_by_mix_design_key,true,true,ok,612,179,239,428,0.22925526,16.194948,16.275138,full_concrete_features,extra_trees,5.7240662,5.3307297,0.64655236,0.67246178,true,coarse_mix_presence_control,extra_trees,9.763348,7.8401661,false,8.540012,8.1879933,false,0.17318436,0.050209205,true
mix_design_hash_4,group_hash_by_mix_design_key,true,true,ok,627,218,185,428,0.41370445,15.911543,15.227794,full_concrete_features,hist_gradient_boosting,4.4180464,5.6399411,0.72233702,0.62962849,true,coarse_mix_presence_control,extra_trees,7.4797168,6.584077,false,7.8546398,10.276369,false,0.087155963,0.07027027,true
age_bucket_holdout,group_hash_by_age_bucket,false,true,ok,393,212,425,6,0.70493042,19.424658,15.795831,binder_ratio_age_core,extra_trees,5.2896631,8.7341049,0.72768308,0.44706267,true,coarse_mix_presence_control,extra_trees,8.9899999,11.776423,false,9.6137586,15.94048,false,0,0,true
water_binder_bins,quartile_bins_by_water_binder_ratio,false,false,one or more splits below minimum row count,1030,0,0,4,,,,,,,,,,,,,,,,,,,,,false
binder_mass_bins,quartile_bins_by_binder_kg_m3,false,false,one or more splits below minimum row count,772,258,0,4,,,,,,,,,,,,,,,,,,,,,false
