row_id,method_id,method_family,mechanism,selection_role,gate_comparator,train_points,validation_rmse,validation_pde_residual_rmse,validation_hot_q90_rmse,validation_gradient_q90_rmse,test_rmse,test_pde_residual_rmse,test_hot_q90_rmse,test_gradient_q90_rmse,coverage_95,global_delta_vs_vanilla,hot_delta_vs_vanilla,gradient_delta_vs_vanilla,residual_delta_vs_vanilla,validation_gate_pass,test_audit_pass,notes
P96-MET-001,low_order_interpolation,baseline,mean_or_low_order_interpolation,gate_comparator,true,285,0.134093698,1.098264497,0.172382142,0.075254075,0.130146139,1.065072717,0.174942683,0.077840696,,-0.028268064,-0.060205111,-0.018886029,-0.109853725,false,false,simple low-order comparator required by Phase 95
P96-MET-002,vanilla_deterministic_surrogate,baseline,vanilla_pinn_same_budget,primary_comparator,true,285,0.107310631,0.993370468,0.112031846,0.056762680,0.101878075,0.955218992,0.114737572,0.058954667,,0.000000000,0.000000000,0.000000000,0.000000000,false,false,primary deterministic surrogate comparator
P96-MET-003,fixed_green_function_features,candidate,fixed_green_function_features,validation_selected,false,285,0.000184038,0.002795804,0.000087368,0.000163052,0.000170693,0.002728446,0.000084619,0.000162240,,0.101707382,0.114652954,0.058792427,0.952490546,true,true,validation-selected fixed physics features; synthetic/PFHub-style evidence only
P96-MET-004,random_collocation_same_budget,baseline,random_collocation_same_budget,adaptive_comparator,true,72,0.000275759,0.003931457,0.000091035,0.000158302,0.000553404,0.007255836,0.000048083,0.000062399,0.955940205,0.101324671,0.114689489,0.058892268,0.947963156,false,false,same-budget random collocation comparator for adaptive sampling
P96-MET-005,bayesian_adaptive_collocation,candidate,bayesian_adaptive_collocation,validation_selected,false,72,0.000715552,0.013975416,0.000062712,0.000454932,0.006432292,0.033832406,0.000011655,0.001615367,0.948859166,0.095445783,0.114725918,0.057339300,0.921386586,false,false,region-focused adaptive sampling diagnostic; blocked unless global and coverage guards pass
