target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
yield_strength_mpa,minor_element_linear,lasso,lasso;alpha=1,1.000000000,,test,36,9,331.773880300,282.089976538,0.190440730,1.323179829
yield_strength_mpa,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,train,244,9,183.289609017,137.727657050,0.465646020,0.730995198
yield_strength_mpa,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,val,32,9,410.850417625,331.417077600,0.271119115,1.638552693
yield_strength_mpa,minor_element_linear,lasso,lasso;alpha=10,10.000000000,,test,36,9,314.549511800,253.183363878,0.272316887,1.254485642
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,train,244,9,180.076837838,132.726309204,0.484214569,0.718182032
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,val,32,9,422.807160192,346.961280239,0.228077389,1.686238547
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,test,36,9,334.237060227,285.562882883,0.178375329,1.333003477
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,train,244,9,180.076835550,132.725689413,0.484214582,0.718182023
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,val,32,9,422.808972714,346.963834731,0.228070771,1.686245775
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,test,36,9,334.247551380,285.579689581,0.178323749,1.333045318
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,train,244,9,180.076834308,132.725069556,0.484214590,0.718182018
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,val,32,9,422.810787075,346.966389872,0.228064146,1.686253011
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,test,36,9,334.258047666,285.596500195,0.178272142,1.333087179
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,train,244,9,180.077209712,132.741481681,0.484212439,0.718183515
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,val,32,9,422.762333748,346.898697554,0.228241060,1.686059770
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,test,36,9,333.984554111,285.157126125,0.179616286,1.331996433
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,train,244,9,180.076982475,132.735298011,0.484213741,0.718182609
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,val,32,9,422.780091975,346.924109166,0.228176223,1.686130593
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,test,36,9,334.088447570,285.324402020,0.179105808,1.332410780
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,train,244,9,180.076858738,132.729106776,0.484214450,0.718182115
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,val,32,9,422.798036832,346.949590372,0.228110702,1.686202161
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001000000,0.800000000,test,36,9,334.192865214,285.492088697,0.178592596,1.332827219
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,train,244,9,180.112465781,132.890927575,0.484010454,0.718324123
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,val,32,9,422.371392395,346.293972315,0.229667739,1.684500619
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.010000000,0.200000000,test,36,9,331.618074617,281.224680148,0.191200912,1.322558445
