target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=0.01,0.010000000,,frac_Al,95.588309403,18689.140069081,95.588309403,3,1093.609454803
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=0.01,0.010000000,,frac_Ti,150.511258385,25904.461831104,150.511258385,2,1093.609454803
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_C,178.157976014,33515.563009733,178.157976014,1,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_Mn,-8.221455528,-3406.996195274,8.221455528,8,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_Si,11.357468728,909.457918570,11.357468728,7,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_V,13.253484963,3729.224471260,13.253484963,5,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_N,-2.349942385,-2869.329963421,2.349942385,9,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_Nb,-22.891062848,-43499.502509670,22.891062848,4,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_W,-12.930081005,-4017.147511835,12.930081005,6,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_Al,94.188982643,18415.547890492,94.188982643,3,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,frac_Ti,148.859541326,25620.185146499,148.859541326,2,1097.762176636
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_C,158.091394652,29740.583145923,158.091394652,1,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_Mn,-10.327802766,-4279.872902197,10.327802766,7,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_Si,6.982914070,559.162137901,6.982914070,8,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_V,19.465913690,5477.258388194,19.465913690,5,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_N,-5.510569158,-6728.522920622,5.510569158,9,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_Nb,-20.208806388,-38402.455580718,20.208806388,4,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_W,-11.785375484,-3661.507749642,11.785375484,6,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_Al,83.161460804,16259.479836264,83.161460804,3,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,frac_Ti,135.733989317,23361.149080573,135.733989317,2,1130.532222142
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_C,77.997465884,14673.095423014,77.997465884,2,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_Mn,-16.336726694,-6769.989267844,16.336726694,5,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_Si,-8.191381257,-655.931064045,8.191381257,7,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_V,33.618750860,9459.539792586,33.618750860,4,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_N,-13.531781777,-16522.595259223,13.531781777,6,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_Nb,-7.989342266,-15182.013009031,7.989342266,8,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_W,-6.599143209,-2050.237095352,6.599143209,9,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_Al,38.571374159,7541.359595378,38.571374159,3,1265.148604559
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,frac_Ti,78.402798672,13493.889609528,78.402798672,1,1265.148604559
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_C,180.739312896,34001.171124859,180.739312896,1,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_Mn,-7.944231450,-3292.113693719,7.944231450,8,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_Si,11.925741686,954.962806480,11.925741686,7,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_V,12.408277667,3491.402665021,12.408277667,6,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_N,-1.923922337,-2349.150363909,1.923922337,9,1093.566930227
