target,target_min,target_max,target_range,selected_feature_profile,selected_validation_method,selected_validation_rmse,selected_validation_normalized_rmse,selected_test_rmse,selected_test_normalized_rmse,mean_validation_rmse,mean_validation_normalized_rmse,mean_test_rmse,mean_test_normalized_rmse,layer_time_validation_rmse,layer_time_validation_normalized_rmse,layer_time_shortcut_detected,validation_relative_improvement_over_mean,test_relative_improvement_over_mean,baseline_visible_gap,strong_baseline_solved,zero_variance_target,physical_priority,status,phase112_candidate
target_mp_mean_mean,6.740263,11.539569,4.799306,source_all_no_layer,extra_trees,0.889177,0.201950,1.069916,0.471829,1.365462,0.310125,0.752892,0.332023,1.365462,0.310125,false,0.348809,-0.421075,true,false,false,5,candidate_melt_pool_target_gap_ready_for_focused_review,true
target_mp_mean_std,2.032971,4.132758,2.099787,source_geometry,hist_gradient_boosting,0.466135,0.289281,0.673526,0.339675,0.466135,0.289281,0.673526,0.339675,0.466135,0.289281,true,0.000000,0.000000,false,false,false,2,blocked_no_baseline_visible_gap,false
target_mp_q90_mean,8.333333,14.777778,6.444444,source_geometry,knn,1.461908,0.226848,1.500191,0.337543,1.755627,0.272425,1.392768,0.313373,1.755627,0.272425,false,0.167302,-0.077129,true,false,false,3,candidate_melt_pool_target_gap_ready_for_focused_review,true
target_mp_max_mean,143.666667,227.777778,84.111111,source_all_no_layer,extra_trees,25.758577,0.306245,29.435938,0.539559,29.418688,0.349760,18.348908,0.336334,29.418688,0.349760,false,0.124414,-0.604234,true,false,false,5,candidate_melt_pool_target_gap_ready_for_focused_review,true
target_mp_max_range,245.000000,246.000000,1.000000,source_geometry,knn,0.288675,0.288675,0.552771,0.552771,0.383331,0.383331,0.536627,0.536627,0.383331,0.383331,false,0.246930,-0.030084,true,false,false,4,candidate_melt_pool_target_gap_ready_for_focused_review,true
target_mp_temporal_mean_range,6.736523,15.910807,9.174284,source_geometry,knn,1.666605,0.243057,2.822707,0.331178,1.922044,0.280311,2.485288,0.291589,1.904477,0.277749,false,0.132899,-0.135767,true,false,false,0,candidate_melt_pool_target_gap_ready_for_focused_review,true
target_mp_early_late_mean_delta,5.380339,10.729622,5.349284,source_power_path,extra_trees,1.158370,0.363232,1.087227,0.252377,1.170720,0.367105,1.287132,0.298781,1.170720,0.367105,false,0.010549,0.155311,false,false,false,1,blocked_no_baseline_visible_gap,false
target_mp_peak_frame_position,0.125000,1.000000,0.875000,source_geometry,hist_gradient_boosting,0.246305,0.394088,0.249337,0.284956,0.246305,0.394088,0.249337,0.284956,0.246305,0.394088,true,0.000000,0.000000,false,false,false,5,blocked_no_baseline_visible_gap,false
