target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_mp_mean_std,layer_time_only,knn,model:knn:fit=train,val,12,0.496432,0.323677,0.162521,0.308083,1.005568,0.496432
target_mp_mean_std,layer_time_only,extra_trees,model:extra_trees:fit=train,test,12,0.666840,0.526628,0.221949,0.336303,0.977276,0.666840
target_mp_mean_std,layer_time_only,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_mean_std,layer_time_only,extra_trees,model:extra_trees:fit=train,val,12,0.600597,0.404261,0.196622,0.372727,1.230274,0.600597
target_mp_mean_std,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.673526,0.523414,0.224174,0.339675,1.194997,0.673526
target_mp_mean_std,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,0.434317,0.351651,0.150934,0.206838,0.847130,0.434317
target_mp_mean_std,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,0.466135,0.321454,0.152602,0.289281,0.960302,0.466135
target_mp_mean_std,source_geometry,knn,model:knn:fit=train,test,12,0.723642,0.585898,0.240854,0.364950,1.188836,0.723642
target_mp_mean_std,source_geometry,knn,model:knn:fit=train,train,39,0.359220,0.291430,0.124836,0.171075,0.646003,0.359220
target_mp_mean_std,source_geometry,knn,model:knn:fit=train,val,12,0.524231,0.392245,0.171622,0.325335,1.021376,0.524231
target_mp_mean_std,source_geometry,extra_trees,model:extra_trees:fit=train,test,12,0.781744,0.640233,0.260193,0.394252,1.347398,0.781744
target_mp_mean_std,source_geometry,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_mean_std,source_geometry,extra_trees,model:extra_trees:fit=train,val,12,0.519557,0.389804,0.170092,0.322434,0.974283,0.519557
target_mp_mean_std,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.673526,0.523414,0.224174,0.339675,1.194997,0.673526
target_mp_mean_std,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,0.434317,0.351651,0.150934,0.206838,0.847130,0.434317
target_mp_mean_std,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,0.466135,0.321454,0.152602,0.289281,0.960302,0.466135
target_mp_mean_std,source_power_path,knn,model:knn:fit=train,test,12,0.697431,0.520839,0.232130,0.351731,1.312679,0.697431
target_mp_mean_std,source_power_path,knn,model:knn:fit=train,train,39,0.379280,0.306578,0.131807,0.180628,0.726028,0.379280
target_mp_mean_std,source_power_path,knn,model:knn:fit=train,val,12,0.588141,0.465058,0.192544,0.364997,1.148963,0.588141
target_mp_mean_std,source_power_path,extra_trees,model:extra_trees:fit=train,test,12,0.727326,0.558565,0.242081,0.366808,1.274883,0.727326
target_mp_mean_std,source_power_path,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_mean_std,source_power_path,extra_trees,model:extra_trees:fit=train,val,12,0.530430,0.444586,0.173651,0.329182,0.938487,0.530430
target_mp_mean_std,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.673526,0.523414,0.224174,0.339675,1.194997,0.673526
target_mp_mean_std,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,0.434317,0.351651,0.150934,0.206838,0.847130,0.434317
target_mp_mean_std,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,0.466135,0.321454,0.152602,0.289281,0.960302,0.466135
target_mp_mean_std,source_all_no_layer,knn,model:knn:fit=train,test,12,0.714464,0.579541,0.237800,0.360321,1.186222,0.714464
target_mp_mean_std,source_all_no_layer,knn,model:knn:fit=train,train,39,0.368419,0.306447,0.128033,0.175455,0.683575,0.368419
target_mp_mean_std,source_all_no_layer,knn,model:knn:fit=train,val,12,0.573189,0.446080,0.187650,0.355718,1.082150,0.573189
target_mp_mean_std,source_all_no_layer,extra_trees,model:extra_trees:fit=train,test,12,0.775500,0.633956,0.258114,0.391103,1.304194,0.775500
