target,target_label,profile,profile_role,method,split,n_rows,rmse,mae,r2,nrmse_train_std
hardness_hv,Vickers hardness,dominant_element_shortcut,negative_control,knn,train,317,207.248895927,166.960935857,0.058344111,0.970389556
hardness_hv,Vickers hardness,dominant_element_shortcut,negative_control,knn,val,110,201.859532913,165.844242424,0.108341186,0.945155252
hardness_hv,Vickers hardness,dominant_element_shortcut,negative_control,knn,test,103,229.586182203,170.197977346,-0.212428327,1.074978143
hardness_hv,Vickers hardness,dominant_element_shortcut,negative_control,extra_trees,train,317,173.581238163,139.854351087,0.339438376,0.812749423
hardness_hv,Vickers hardness,dominant_element_shortcut,negative_control,extra_trees,val,110,173.755167874,142.022674162,0.339343610,0.813563804
hardness_hv,Vickers hardness,dominant_element_shortcut,negative_control,extra_trees,test,103,197.680217299,153.375720625,0.101142178,0.925586683
yield_strength_mpa,yield strength in MPa,mean,baseline,mean,train,657,578.174774886,464.055438377,0.000000000,1.000000000
yield_strength_mpa,yield strength in MPa,mean,baseline,mean,val,170,545.349261339,451.063221595,-0.016551512,0.943225621
yield_strength_mpa,yield strength in MPa,mean,baseline,mean,test,240,563.927606569,482.746717466,-0.008547928,0.975358371
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,knn,train,657,478.856501679,368.168772197,0.314049942,0.828221020
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,knn,val,170,575.340630939,464.448946078,-0.131436078,0.995098119
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,knn,test,240,516.264604510,415.594913194,0.154731799,0.892921357
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,extra_trees,train,657,342.128469093,231.405901945,0.649845148,0.591738837
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,extra_trees,val,170,525.620510096,416.330647716,0.055668364,0.909103152
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,extra_trees,test,240,662.367266894,485.743890095,-0.391385761,1.145617719
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,hist_gradient_boosting,train,657,354.905787458,264.132955271,0.623202613,0.613838242
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,hist_gradient_boosting,val,170,521.688150593,423.407139460,0.069745291,0.902301818
yield_strength_mpa,yield strength in MPa,composition_descriptors,admissible,hist_gradient_boosting,test,240,723.602740559,560.592971337,-0.660543421,1.251529420
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,knn,train,657,464.878393720,357.187757484,0.353512036,0.804044752
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,knn,val,170,537.723520453,437.339259804,0.011679056,0.930036286
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,knn,test,240,476.036220254,395.869059028,0.281329486,0.823343115
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,extra_trees,train,657,342.271781362,231.952325081,0.649551738,0.591986708
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,extra_trees,val,170,520.997343633,409.720459363,0.072207302,0.901107012
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,extra_trees,test,240,500.191852698,413.733141465,0.206543619,0.865122234
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,hist_gradient_boosting,train,657,354.184803142,262.217042469,0.624731971,0.612591241
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,hist_gradient_boosting,val,170,518.841290038,408.445165584,0.079870418,0.897377943
yield_strength_mpa,yield strength in MPa,common_element_fractions,admissible,hist_gradient_boosting,test,240,530.888138493,430.223056677,0.106168050,0.918213941
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,knn,train,657,391.144123128,297.048829274,0.542326951,0.676515372
