target,target_label,row_count,train_rows,val_rows,test_rows,train_mean,train_std,mean_val_rmse,mean_test_rmse,best_profile,best_method,best_val_rmse,best_test_rmse,best_val_nrmse,best_test_nrmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain_vs_mean,best_negative_profile,best_negative_method,best_negative_val_rmse,best_negative_test_rmse,shortcut_blocks,phase144_candidate,status,reason
hardness_hv,Vickers hardness,530,317,110,103,476.041955836,213.572883946,213.772881049,208.862310066,composition_process_context,hist_gradient_boosting,92.386023255,138.128931438,0.432573750,0.646753131,121.386857794,70.733378628,0.567830948,process_only_control,hist_gradient_boosting,119.843385619,169.490003945,false,true,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated"
yield_strength_mpa,yield strength in MPa,1067,657,170,240,890.552054795,578.174774886,545.349261339,563.927606569,composition_process_context,hist_gradient_boosting,271.464175432,349.722319107,0.469519231,0.604873015,273.885085906,214.205287462,0.502219596,process_only_control,hist_gradient_boosting,341.470796677,398.966226752,false,true,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated"
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,539,342,92,105,1174.059502924,699.569189717,745.521111713,762.739310396,composition_process_context,extra_trees,331.482371809,352.547437229,0.473837866,0.503949348,414.038739904,410.191873167,0.555368230,process_only_control,extra_trees,299.657584656,326.683282801,true,false,blocked_shortcut_or_process_control_dominance,best negative-control profile matches or beats the admissible validation RMSE
elongation_pct,elongation in percent,619,403,112,104,31.511662531,22.708107689,20.001306322,21.443857585,composition_process_context,extra_trees,16.753778880,15.636380383,0.737788419,0.688581391,3.247527442,5.807477202,0.162365767,process_only_control,hist_gradient_boosting,16.448957248,19.463114120,true,false,blocked_shortcut_or_process_control_dominance,best negative-control profile matches or beats the admissible validation RMSE
young_modulus_gpa,experimental Young modulus in GPa,145,59,18,68,,,,,,,,,,,,,,,,,,,false,blocked_insufficient_rows_or_split,target or one split is below the minimum row count
