dataset,split,classification,route,claim_use,metrics_summary,notes
broad12,laser_power,route_guard_positive,concat/global_standard,route-guard-only boundary evidence,Test RMSE: 140.753534 vs mean 132.965887 (d=7.787647); Hot q90 RMSE: 254.473291 vs mean 242.427068 (d=12.046223); Gradient q90 RMSE: 215.411533 vs mean 208.105836 (d=7.305697),broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics.
broad12,line,paper_claim_positive,none/none,route guard / no-process fallback evidence,Test RMSE: 126.308616 vs mean 134.042138 (d=-7.733522); Hot q90 RMSE: 217.257126 vs knn_coords 228.525979 (d=-11.268853); Gradient q90 RMSE: 195.314294 vs knn_coords 210.675696 (d=-15.361402),broad_process_v1 beats the best strong baseline and is non-worse than no-process on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
broad12,process,route_guard_positive,none/none,route-guard-only boundary evidence,Test RMSE: 181.091525 vs mean 147.381589 (d=33.709936); Hot q90 RMSE: 325.205379 vs mean 251.032500 (d=74.172879); Gradient q90 RMSE: 266.149257 vs mean 213.464819 (d=52.684438),broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
broad12,scan_speed,route_guard_positive,none/none,route-guard-only boundary evidence,Test RMSE: 186.173938 vs mean 145.115776 (d=41.058162); Hot q90 RMSE: 345.736994 vs mean 250.659348 (d=95.077645); Gradient q90 RMSE: 266.380605 vs mean 209.791354 (d=56.589251),broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
broad21,laser_power,route_guard_positive,concat/global_standard,route-guard-only boundary evidence,Test RMSE: 178.040331 vs mean 131.741364 (d=46.298967); Hot q90 RMSE: 296.909567 vs mean 237.730958 (d=59.178609); Gradient q90 RMSE: 254.954359 vs mean 205.133029 (d=49.821330),broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics.
broad21,line,paper_claim_positive,none/none,route guard / no-process fallback evidence,Test RMSE: 126.194921 vs mean 131.161929 (d=-4.967008); Hot q90 RMSE: 234.351122 vs mean 243.188033 (d=-8.836911); Gradient q90 RMSE: 205.642173 vs mean 214.217962 (d=-8.575789),"broad_process_v1 beats the best strong baseline and is non-worse than no-process on all required metrics. A neural reference is better on at least one metric: rmse:process_axis_v1, hot_q90_rmse:process_axis_v1, gradient_q90_rmse:process_axis_v1. The selected route is the no-process fallback; do not claim process conditioning improves this split."
broad21,process,route_guard_positive,none/none,route-guard-only boundary evidence,Test RMSE: 166.231596 vs mean 145.350346 (d=20.881250); Hot q90 RMSE: 308.389105 vs mean 248.754243 (d=59.634862); Gradient q90 RMSE: 251.049837 vs mean 216.442403 (d=34.607434),broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
broad21,scan_speed,route_guard_positive,none/none,route-guard-only boundary evidence,Test RMSE: 227.128663 vs mean 144.014351 (d=83.114312); Hot q90 RMSE: 392.018079 vs mean 251.407139 (d=140.610940); Gradient q90 RMSE: 304.940054 vs mean 212.910489 (d=92.029565),broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. A neural reference is better on at least one metric: hot_q90_rmse:process_axis_v1. The selected route is the no-process fallback; do not claim process conditioning improves this split.
