target,phase112_status,phase112_candidate,selected_feature_profile,selected_validation_method,selected_validation_rmse,selected_test_rmse,mean_validation_rmse,mean_test_rmse,validation_relative_improvement_over_mean,test_relative_improvement_over_mean,layer_time_shortcut_detected,focused_review_status,mechanism_allowed,reason
target_mp_mean_mean,candidate_melt_pool_target_gap_ready_for_focused_review,true,source_all_no_layer,extra_trees,0.889177,1.069916,1.365462,0.752892,0.348809,-0.421075,false,blocked_validation_test_reversal,false,validation-selected profile is worse than mean guard on test
target_mp_mean_std,blocked_no_baseline_visible_gap,false,source_geometry,hist_gradient_boosting,0.466135,0.673526,0.466135,0.673526,0.000000,0.000000,true,not_phase112_candidate,false,blocked_no_baseline_visible_gap
target_mp_q90_mean,candidate_melt_pool_target_gap_ready_for_focused_review,true,source_geometry,knn,1.461908,1.500191,1.755627,1.392768,0.167302,-0.077129,false,blocked_validation_test_reversal,false,validation-selected profile is worse than mean guard on test
target_mp_max_mean,candidate_melt_pool_target_gap_ready_for_focused_review,true,source_all_no_layer,extra_trees,25.758577,29.435938,29.418688,18.348908,0.124414,-0.604234,false,blocked_validation_test_reversal,false,validation-selected profile is worse than mean guard on test
target_mp_max_range,candidate_melt_pool_target_gap_ready_for_focused_review,true,source_geometry,knn,0.288675,0.552771,0.383331,0.536627,0.246930,-0.030084,false,blocked_validation_test_reversal,false,validation-selected profile is worse than mean guard on test
target_mp_temporal_mean_range,candidate_melt_pool_target_gap_ready_for_focused_review,true,source_geometry,knn,1.666605,2.822707,1.922044,2.485288,0.132899,-0.135767,false,blocked_validation_test_reversal,false,validation-selected profile is worse than mean guard on test
target_mp_early_late_mean_delta,blocked_no_baseline_visible_gap,false,source_power_path,extra_trees,1.158370,1.087227,1.170720,1.287132,0.010549,0.155311,false,not_phase112_candidate,false,blocked_no_baseline_visible_gap
target_mp_peak_frame_position,blocked_no_baseline_visible_gap,false,source_geometry,hist_gradient_boosting,0.246305,0.249337,0.246305,0.249337,0.000000,0.000000,true,not_phase112_candidate,false,blocked_no_baseline_visible_gap
