target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_cp_layer_camera_range,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.823945,1.612870,0.939805,0.775049,0.898914,1.823945
target_cp_deviation_from_layer_mean,mean,constant:mean:fit=train,test,26,0.923167,0.858104,1.000000,0.353727,1.252151,0.923167
target_cp_deviation_from_layer_mean,mean,constant:mean:fit=train,train,76,1.652154,1.110876,1.000000,0.109294,3.251966,1.652154
target_cp_deviation_from_layer_mean,mean,constant:mean:fit=train,val,26,0.970384,0.910560,1.000000,0.298729,1.447401,0.970384
target_cp_deviation_from_layer_mean,knn,model:knn:fit=train,test,26,2.034603,1.483625,2.203939,0.779592,2.996240,2.034603
target_cp_deviation_from_layer_mean,knn,model:knn:fit=train,train,76,1.395681,0.828443,0.844765,0.092328,2.756341,1.395681
target_cp_deviation_from_layer_mean,knn,model:knn:fit=train,val,26,1.409552,1.073128,1.452571,0.433925,0.720501,1.409552
target_cp_deviation_from_layer_mean,extra_trees,model:extra_trees:fit=train,test,26,4.101485,3.933064,4.442844,1.571553,5.051706,4.101485
target_cp_deviation_from_layer_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_deviation_from_layer_mean,extra_trees,model:extra_trees:fit=train,val,26,3.215199,2.970234,3.313325,0.989787,2.133625,3.215199
target_cp_deviation_from_layer_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.904995,0.822682,0.980316,0.346764,1.283104,0.904995
target_cp_deviation_from_layer_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.649559,1.110876,0.998429,0.109122,3.273058,1.649559
target_cp_deviation_from_layer_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.904725,0.846800,0.932337,0.278516,1.355733,0.904725
target_cp_prev_same_camera_delta,mean,constant:mean:fit=train,test,26,2.275609,1.551307,1.007460,0.228026,4.897072,2.275609
target_cp_prev_same_camera_delta,mean,constant:mean:fit=train,train,76,2.366162,1.277731,0.991878,0.121323,3.775994,2.366162
target_cp_prev_same_camera_delta,mean,constant:mean:fit=train,val,26,3.296014,1.517875,1.021244,0.174565,9.165126,3.296014
target_cp_prev_same_camera_delta,knn,model:knn:fit=train,test,26,3.185646,2.067820,1.410353,0.319216,7.777363,3.185646
target_cp_prev_same_camera_delta,knn,model:knn:fit=train,train,76,2.059316,1.161698,0.863250,0.105589,3.561623,2.059316
target_cp_prev_same_camera_delta,knn,model:knn:fit=train,val,26,3.849654,2.005996,1.192784,0.203887,10.603761,3.849654
target_cp_prev_same_camera_delta,extra_trees,model:extra_trees:fit=train,test,26,3.888498,2.397568,1.721521,0.389644,8.450812,3.888498
target_cp_prev_same_camera_delta,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_prev_same_camera_delta,extra_trees,model:extra_trees:fit=train,val,26,5.260352,3.090606,1.629878,0.278601,13.500347,5.260352
