target,target_min,target_max,target_range,selected_validation_method,selected_validation_rmse,selected_validation_normalized_rmse,selected_test_rmse,selected_test_normalized_rmse,mean_validation_rmse,mean_validation_normalized_rmse,mean_test_rmse,mean_test_normalized_rmse,validation_relative_improvement_over_mean,test_relative_improvement_over_mean,baseline_visible_gap,strong_baseline_solved,zero_variance_target,physical_priority,status,phase108_candidate
target_cp_layer_mean,18.540346,30.318890,11.778544,hist_gradient_boosting,0.940098,0.409992,1.060691,0.352271,1.262500,0.550597,1.327112,0.440754,0.255368,0.200752,true,false,false,5,candidate_sequence_target_gap_ready_for_review,true
target_cp_camera_pair_delta,-15.116639,15.116639,30.233278,hist_gradient_boosting,1.809450,0.278516,1.809990,0.346764,1.940769,0.298729,1.846333,0.353727,0.067663,0.019684,true,false,false,0,candidate_sequence_target_gap_ready_for_review,true
target_cp_abs_camera_pair_delta,0.069431,15.116639,15.047208,mean,0.781419,0.332048,0.848026,0.428636,0.781419,0.332048,0.848026,0.428636,0.000000,0.000000,false,false,false,5,blocked_no_baseline_visible_gap,false
target_cp_layer_camera_range,0.069431,15.116639,15.047208,mean,0.781419,0.332048,0.848026,0.428636,0.781419,0.332048,0.848026,0.428636,0.000000,0.000000,false,false,false,4,blocked_no_baseline_visible_gap,false
target_cp_deviation_from_layer_mean,-7.558320,7.558319,15.116639,hist_gradient_boosting,0.904725,0.278516,0.904995,0.346764,0.970384,0.298729,0.923167,0.353727,0.067663,0.019684,true,false,false,3,candidate_sequence_target_gap_ready_for_review,true
target_cp_prev_same_camera_delta,-14.123642,14.647427,28.771069,hist_gradient_boosting,3.277696,0.173595,2.033018,0.203717,3.296014,0.174565,2.275609,0.228026,0.005557,0.106605,false,true,false,1,blocked_no_baseline_visible_gap,false
target_cp_prev_layer_mean_delta,-15.199994,8.779322,23.979316,hist_gradient_boosting,2.641939,0.214121,1.689540,0.221891,2.721532,0.220572,1.957437,0.257074,0.029246,0.136861,false,false,false,2,blocked_no_baseline_visible_gap,false
target_cp_prev_same_camera_abs_delta,0.000000,14.647427,14.647427,hist_gradient_boosting,2.686103,0.183650,1.234070,0.241300,2.898835,0.198194,1.722366,0.336777,0.073385,0.283503,true,true,false,5,blocked_strong_baseline_solved_validation_target,false
target_cp_prev_layer_mean_abs_delta,0.000000,15.199994,15.199994,mean,1.982028,0.226945,1.128126,0.305282,1.982028,0.226945,1.128126,0.305282,0.000000,0.000000,false,false,false,5,blocked_no_baseline_visible_gap,false
