seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,ridge_alpha,learned_center_shift,learned_source_width,raw_closure_coeff,head_center_shift,head_source_width,head_closure_coeff
171,P169-CASE-029,test,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0202840168,0.095899146,-0.0047315925,-0.0202922557,0.0959466657,-0.0205721594
171,P169-CASE-030,train,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0201264027,0.0958460236,0.0256557117,-0.020129905,0.0959051775,0.0081414479
171,P169-CASE-031,train,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0201656302,0.0957541503,0.1532041529,-0.0201455676,0.0958730697,0.1239975818
171,P169-CASE-032,train,low_capacity_explicit_latent_hidden_closure_head,2,48,43,346,1e-06,0.0001310412,0.035797561,-0.0991673412,0.0001513824,0.0358359227,-0.102454506
171,P169-CASE-033,test,low_capacity_explicit_latent_hidden_closure_head,2,48,43,346,1e-06,-4.21486e-05,0.0360583038,-0.041144446,7.3867e-06,0.0361061052,-0.049291958
171,P169-CASE-034,train,low_capacity_explicit_latent_hidden_closure_head,3,48,58,467,1e-06,2.05202e-05,0.0357669536,0.0602528149,7.90809e-05,0.0358766949,0.0426934994
171,P169-CASE-035,train,low_capacity_explicit_latent_hidden_closure_head,2,48,42,338,1e-06,3.8383e-05,0.0358989355,0.1395674678,0.0001198854,0.036029432,0.1156964314
171,P169-CASE-036,train,low_capacity_explicit_latent_hidden_closure_head,3,48,53,427,1e-06,6.37139e-05,0.0540530949,-0.1036868183,4.02793e-05,0.0541005584,-0.1098050885
171,P169-CASE-037,train,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,-0.0001351169,0.0541125975,-0.0442139444,-0.0001381464,0.0541868571,-0.0562299316
171,P169-CASE-038,val,low_capacity_explicit_latent_hidden_closure_head,3,48,54,435,1e-06,-2.26082e-05,0.0539490374,0.0171938687,-2.46737e-05,0.0540555408,-0.0004585928
171,P169-CASE-039,train,low_capacity_explicit_latent_hidden_closure_head,3,48,57,459,1e-06,1.03466e-05,0.0541441487,0.1406928894,4.63025e-05,0.0542848699,0.1135000361
171,P169-CASE-040,val,low_capacity_explicit_latent_hidden_closure_head,3,48,56,451,1e-06,-0.0001486649,0.074183987,-0.1077763564,-7.87771e-05,0.0741459438,-0.1039086924
171,P169-CASE-041,train,low_capacity_explicit_latent_hidden_closure_head,3,48,56,451,1e-06,2.4596e-05,0.0741011554,-0.0653294543,8.43976e-05,0.0740427739,-0.0678118397
171,P169-CASE-042,test,low_capacity_explicit_latent_hidden_closure_head,2,48,34,274,1e-06,-9.13461e-05,0.0737785912,0.0776908647,-1.55433e-05,0.0738064014,0.0607253779
171,P169-CASE-043,train,low_capacity_explicit_latent_hidden_closure_head,2,48,36,290,1e-06,0.0001159311,0.0738407924,0.1004497424,0.0001973509,0.0738656878,0.0829884664
171,P169-CASE-044,test,low_capacity_explicit_latent_hidden_closure_head,2,48,42,338,1e-06,-0.0002082324,0.0958389896,-0.1018626362,-0.0002271591,0.0958788608,-0.107207018
171,P169-CASE-045,train,low_capacity_explicit_latent_hidden_closure_head,2,48,41,330,1e-06,0.0001812816,0.0958073055,-0.0285561684,0.0001714912,0.0958653716,-0.0381515423
171,P169-CASE-046,train,low_capacity_explicit_latent_hidden_closure_head,2,48,41,330,1e-06,-2.0879e-06,0.0957794146,0.06761566,8.7601e-06,0.0958843739,0.0483668862
171,P169-CASE-047,val,low_capacity_explicit_latent_hidden_closure_head,2,48,42,338,1e-06,-5.954e-05,0.0959063787,0.1001837136,-3.60052e-05,0.0960161111,0.0781493068
171,P169-CASE-048,test,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,0.0259932821,0.0360355084,-0.1051995064,0.0258175722,0.0359431045,-0.1081526131
171,P169-CASE-049,train,low_capacity_explicit_latent_hidden_closure_head,3,48,68,547,1e-06,0.0261387145,0.0361657652,-0.0351776407,0.0260274905,0.0360617307,-0.0462846148
171,P169-CASE-050,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,0.0261091255,0.0359237478,0.0468892985,0.0259534182,0.0358901312,0.0295844708
171,P169-CASE-051,val,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,0.0261223358,0.0360307957,0.1299232275,0.025998428,0.0360189236,0.1054588391
171,P169-CASE-052,train,low_capacity_explicit_latent_hidden_closure_head,3,48,61,491,1e-06,0.0258963514,0.05385488,-0.1071340461,0.0258728156,0.0537209623,-0.0924101896
171,P169-CASE-053,val,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,0.0259654938,0.0541904409,-0.0598609322,0.0258570822,0.0541641465,-0.0601630655
171,P169-CASE-054,train,low_capacity_explicit_latent_hidden_closure_head,3,48,60,483,1e-06,0.0259710891,0.0542296618,0.0394169292,0.0258855065,0.0542399061,0.0306265427
171,P169-CASE-055,test,low_capacity_explicit_latent_hidden_closure_head,3,48,58,467,1e-06,0.0260727001,0.0540721074,0.1329933475,0.0259968616,0.0541263206,0.1157558086
171,P169-CASE-056,train,low_capacity_explicit_latent_hidden_closure_head,3,48,61,491,1e-06,0.0259919925,0.0741461362,-0.1063885598,0.025955043,0.0739891162,-0.0944792793
171,P169-CASE-057,test,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,0.0260282237,0.0743045259,-0.0416963649,0.0260270945,0.0742073786,-0.0305974392
171,P169-CASE-058,train,low_capacity_explicit_latent_hidden_closure_head,3,48,60,483,1e-06,0.0259988315,0.0739773329,0.0170341081,0.0259878118,0.0738839876,0.0182292159
171,P169-CASE-059,train,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,0.0259402204,0.0741376961,0.1044165796,0.0259603178,0.074072058,0.0987750398
171,P169-CASE-060,train,low_capacity_explicit_latent_hidden_closure_head,3,48,68,547,1e-06,0.0261010822,0.0962305637,-0.1288625688,0.0260297945,0.0961561433,-0.1145730375
171,P169-CASE-061,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,0.0261744404,0.0961391437,-0.0136415744,0.0260833103,0.0960726277,-0.0421585737
171,P169-CASE-062,val,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,0.0261798797,0.0963107853,0.0187677151,0.0261138139,0.0962576421,-0.0104988784
171,P169-CASE-063,train,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,0.025990516,0.0959059654,0.130018334,0.0259638959,0.0959555379,0.1197370515
171,P169-CASE-064,train,low_capacity_explicit_latent_hidden_closure_head,2,48,48,386,1e-06,0.0520667402,0.0360735037,-0.1156300859,0.0519653198,0.0360477608,-0.1139699438
171,P169-CASE-065,train,low_capacity_explicit_latent_hidden_closure_head,2,48,47,378,1e-06,0.0518618313,0.0360021101,-0.0383924298,0.0517961369,0.0360259068,-0.0430486316
171,P169-CASE-066,val,low_capacity_explicit_latent_hidden_closure_head,2,48,48,386,1e-06,0.0520062519,0.0361446348,0.0258501085,0.0519448722,0.0361737444,0.0156241571
171,P169-CASE-067,train,low_capacity_explicit_latent_hidden_closure_head,2,48,49,394,1e-06,0.052088645,0.0359981687,0.1019291196,0.0520263222,0.0360637419,0.0841144798
171,P169-CASE-068,val,low_capacity_explicit_latent_hidden_closure_head,3,48,68,547,1e-06,0.0521334847,0.054062904,-0.0767104143,0.0520446278,0.0540976673,-0.0761080644
171,P169-CASE-069,train,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,0.0520118474,0.0537153457,-0.0362904476,0.0520183819,0.0536138913,-0.0332686171
171,P169-CASE-070,test,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,0.0519120717,0.0538443646,0.034191388,0.0520016873,0.0539425834,0.0463727617
171,P169-CASE-071,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,0.0521689317,0.0539848622,0.1214740361,0.0521174274,0.0541035315,0.1046052684
171,P169-CASE-072,test,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,0.0521555529,0.0741904864,-0.1192084175,0.0521238032,0.0740754413,-0.1083596505
171,P169-CASE-073,train,low_capacity_explicit_latent_hidden_closure_head,3,48,69,555,1e-06,0.0519978887,0.0742059419,-0.0424736249,0.0519919184,0.0741283551,-0.0385230484
171,P169-CASE-074,train,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,0.0521102623,0.0739052504,0.0475955802,0.0521086862,0.0738826363,0.0432050498
171,P169-CASE-075,val,low_capacity_explicit_latent_hidden_closure_head,3,48,68,547,1e-06,0.051881956,0.074026996,0.1145945071,0.0519130519,0.0740324482,0.1044098515
171,P169-CASE-076,train,low_capacity_explicit_latent_hidden_closure_head,2,48,47,378,1e-06,0.052081806,0.0960918665,-0.130774506,0.052008515,0.0960739317,-0.1209544431
171,P169-CASE-077,val,low_capacity_explicit_latent_hidden_closure_head,2,48,50,402,1e-06,0.051839258,0.0958026873,-0.0073760109,0.0517959244,0.0958695793,-0.0095014819
171,P169-CASE-078,train,low_capacity_explicit_latent_hidden_closure_head,2,48,47,378,1e-06,0.0519257436,0.0960347293,0.0133821892,0.0518901509,0.0960867319,0.0102173485
171,P169-CASE-079,test,low_capacity_explicit_latent_hidden_closure_head,2,48,47,378,1e-06,0.0520614935,0.0960724064,0.1155892459,0.0520439105,0.0961565143,0.1040771609
172,P169-CASE-000,train,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0450351727,0.0358352316,-0.0917080833,-0.0450910793,0.0357557103,-0.0954032655
172,P169-CASE-001,val,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0449415914,0.0361047733,-0.0573823255,-0.0449913441,0.0360103048,-0.061481722
172,P169-CASE-002,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,-0.0449932911,0.0358519417,0.0415602544,-0.0450531055,0.0357342851,0.0400408038
172,P169-CASE-003,test,low_capacity_explicit_latent_hidden_closure_head,3,48,62,499,1e-06,-0.045057005,0.0358994789,0.1440373755,-0.0451184193,0.0357536973,0.1443604029
172,P169-CASE-004,train,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,-0.0449687937,0.0542008367,-0.1498489907,-0.0449533633,0.0542055986,-0.1548803703
172,P169-CASE-005,test,low_capacity_explicit_latent_hidden_closure_head,3,48,68,547,1e-06,-0.044848479,0.0544420857,-0.0767373642,-0.0448276996,0.0544213236,-0.0815618377
172,P169-CASE-006,train,low_capacity_explicit_latent_hidden_closure_head,3,48,62,499,1e-06,-0.0451007162,0.0539524681,0.0361451778,-0.0451018768,0.0539058646,0.0355407145
172,P169-CASE-007,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,-0.0450232153,0.0542000999,0.1294932906,-0.0450237338,0.0541170998,0.1296828609
172,P169-CASE-008,train,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0450351727,0.0737671218,-0.0956844435,-0.0449733468,0.0737282779,-0.1017688339
172,P169-CASE-009,train,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.044941123,0.0742967314,-0.0300211676,-0.0449663118,0.0740471704,-0.0348276886
172,P169-CASE-010,val,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,-0.0449384145,0.0739902974,0.0333038225,-0.0448764856,0.0739081037,0.0286348882
172,P169-CASE-011,train,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0449336893,0.0741676449,0.0994870774,-0.0448853966,0.0740361873,0.0958170289
172,P169-CASE-012,val,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0447804096,0.0963319511,-0.1123823735,-0.0445964272,0.0966731312,-0.1045309639
172,P169-CASE-013,train,low_capacity_explicit_latent_hidden_closure_head,3,48,69,555,1e-06,-0.045236603,0.096420419,-0.0414121482,-0.0451949177,0.0963169609,-0.0430834248
172,P169-CASE-014,test,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0448271109,0.0960058182,0.0289438796,-0.0448319697,0.0957993849,0.0280950955
172,P169-CASE-015,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,-0.0448622793,0.096168677,0.0918462643,-0.0448164824,0.0960466022,0.0916803533
