target,split_id,split_strategy,split_viable,split_reason,train_rows,val_rows,test_rows,mean_val_rmse,mean_test_rmse,best_admissible_profile,best_admissible_method,best_admissible_val_rmse,best_admissible_test_rmse,best_admissible_val_gain_vs_mean,best_admissible_test_gain_vs_mean,best_admissible_relative_val_gain,split_pass,best_negative_profile,best_negative_method,best_negative_val_rmse,best_negative_test_rmse,negative_control_dominates
yield_strength_mpa,phase120_registered_split,group_hash_by_alloy_family_key,true,ok,244,32,36,506.017441374,370.151296272,minor_elements_only,extra_trees,252.859756532,225.714877862,253.157684843,144.436418410,0.500294385,true,alloy_family_shortcut,hist_gradient_boosting,485.593814344,373.456281548,false
yield_strength_mpa,alloy_family_hash_0,group_hash_by_alloy_family_key,false,one or more splits is below minimum row count,264,11,37,,,,,,,,,,false,,,,,false
yield_strength_mpa,alloy_family_hash_1,group_hash_by_alloy_family_key,false,one or more splits is below minimum row count,208,88,16,,,,,,,,,,false,,,,,false
yield_strength_mpa,alloy_family_hash_2,group_hash_by_alloy_family_key,false,one or more splits is below minimum row count,258,35,19,,,,,,,,,,false,,,,,false
yield_strength_mpa,alloy_family_hash_3,group_hash_by_alloy_family_key,true,ok,181,51,80,159.010917371,398.226823401,core_element_fractions,extra_trees,128.365492345,326.295568677,30.645425026,71.931254724,0.192725289,true,composition_hash_shortcut,extra_trees,155.371825366,445.810432247,false
yield_strength_mpa,alloy_family_hash_4,group_hash_by_alloy_family_key,true,ok,114,115,83,294.068187511,263.928424561,all_element_fractions,extra_trees,186.971280271,162.532592200,107.096907240,101.395832361,0.364190728,true,composition_hash_shortcut,extra_trees,293.021834919,275.890746885,false
yield_strength_mpa,dominant_element_hash,group_hash_by_dominant_non_fe_element,false,one or more splits is below minimum row count,209,0,103,,,,,,,,,,false,,,,,false
yield_strength_mpa,fe_ni_co_bins,quartile_bins_by_frac_Fe_frac_Ni_frac_Co,true,ok,205,75,32,329.630342577,171.529330782,composition_descriptors,hist_gradient_boosting,170.752879304,179.079605238,158.877463273,-7.550274455,0.481986767,false,alloy_family_shortcut,extra_trees,292.227397884,259.462228092,false
yield_strength_mpa,cr_mo_ti_bins,quartile_bins_by_frac_Cr_frac_Mo_frac_Ti,true,ok,196,31,85,237.417024950,209.647101705,all_element_fractions,hist_gradient_boosting,169.339973844,199.552453954,68.077051106,10.094647751,0.286740393,true,alloy_family_shortcut,hist_gradient_boosting,223.555800495,217.208290038,false
