target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_intensity_q90,mean,constant:mean:fit=train,train,76,3.363766,2.002078,0.025024,0.120135,5.812820,3.363766
target_intensity_q90,mean,constant:mean:fit=train,val,26,1.302775,1.174089,0.009741,0.434258,0.618421,1.302775
target_intensity_q90,knn,model:knn:fit=train,test,26,4.154598,2.884615,0.031039,1.384866,5.700065,4.154598
target_intensity_q90,knn,model:knn:fit=train,train,76,2.202139,1.092105,0.016382,0.078648,2.375284,2.202139
target_intensity_q90,knn,model:knn:fit=train,val,26,3.341017,2.153846,0.024982,1.113672,4.747142,3.341017
target_intensity_q90,extra_trees,model:extra_trees:fit=train,test,26,7.646413,6.127692,0.057126,2.548804,10.534861,7.646413
target_intensity_q90,extra_trees,model:extra_trees:fit=train,train,76,0.003244,0.000526,0.000024,0.000116,0.000000,0.003244
target_intensity_q90,extra_trees,model:extra_trees:fit=train,val,26,7.086904,5.576923,0.052992,2.362301,10.141201,7.086904
target_intensity_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.628364,1.430922,0.012165,0.542788,2.203088,1.628364
target_intensity_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.367196,0.968242,0.017610,0.084543,2.229710,2.367196
target_intensity_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.718447,1.467266,0.012850,0.572816,2.418823,1.718447
