target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase159_guard_profile,phase159_guard_method,phase159_guard_val_rmse,phase159_guard_test_rmse,val_gain_vs_phase159,relative_val_gain_vs_phase159,test_gain_vs_phase159,test_reversal_ratio_vs_phase159,clears_phase159_validation_guard,clears_phase159_test_guard,selected_low_capacity
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,10,8.37998605952,8.42149116039,8.66405659982,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.75630187118,-0.486533058379,-3.29767858673,1.61450732294,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,10,8.0331048663,7.95648714031,8.22211129464,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.29129785109,-0.404452125802,-2.85573328156,1.53215283653,false,false,false
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=1e-05,1e-05,,10,7.13091668618,6.53408989854,6.83872164173,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.868900609324,-0.153375388706,-1.47234362865,1.27436450154,false,false,false
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.001,0.001,,10,7.13094273453,6.53498354617,6.83944655945,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.869794256961,-0.153533132356,-1.47306854636,1.27449958664,false,false,false
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.1,0.1,,10,7.13947229457,6.58099223003,6.89869388437,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.915802940823,-0.161654429194,-1.53231587129,1.28554005468,false,false,false
target_compressive_strength_mpa,binder_composition_core,ordinary_least_squares,ordinary_least_squares,,,13,8.17183799149,8.43467941555,9.04759216245,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.76949012634,-0.488861004452,-3.68121414936,1.68597742097,false,false,false
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.0001,0.0001,,13,8.17183809766,8.43452287195,9.04754874912,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.76933358274,-0.488833371907,-3.68117073603,1.68596933109,false,false,false
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.01,0.01,,13,8.17275943785,8.42097918564,9.04435415491,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.75578989643,-0.486442686333,-3.67797614183,1.68537403307,false,false,false
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=1,1,,13,8.3207307807,8.39592097959,9.12674491216,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.73073169038,-0.482019496786,-3.76036689907,1.70072717388,false,false,false
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=10,10,,13,8.37160558591,8.43314537634,9.15778968893,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.76795608713,-0.488590221054,-3.79141167585,1.70651222605,false,false,false
