target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,val,186,10,6.59960454239,5.15988256192,0.843825662156
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,test,192,10,6.91206854791,5.37110900022,0.835956845633
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,train,652,10,7.12346857167,5.41213847811,0.81427458403
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,val,186,10,6.56056800173,5.13168596979,0.84566773481
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,test,192,10,6.87966265002,5.34200540977,0.837491409197
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,train,652,10,7.10928189298,5.41212678583,0.815013606906
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,val,186,10,6.51588603959,5.09705415,0.847762792931
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,test,192,10,6.84313398554,5.30785468889,0.839212558164
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,train,652,10,7.56338691127,5.62539921967,0.790626867891
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,val,186,10,7.26299531747,5.7288344679,0.810850422285
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,test,192,10,7.55038863306,5.93445297001,0.804259519017
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,train,652,10,7.46913124698,5.57301540508,0.79581280816
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,val,186,10,7.12623635975,5.61163409741,0.817906563034
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,test,192,10,7.4104503004,5.81357744708,0.811447959499
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,train,652,10,7.33823723446,5.51158683362,0.802906723147
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,val,186,10,6.92423912588,5.44214484748,0.828083340819
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,test,192,10,7.20944387155,5.65899842393,0.82153807681
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,train,652,10,8.60001496503,6.5689945737,0.729300951943
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,val,186,10,8.71234229226,7.00759851958,0.727827835465
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,test,192,10,8.92000351529,7.10444217286,0.72680541316
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,train,652,10,8.37998605952,6.36331439078,0.742975272771
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,val,186,10,8.42149116039,6.77670770363,0.745696790131
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,test,192,10,8.66405659982,6.90551163426,0.74225835246
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,train,652,10,8.0331048663,6.053590492,0.763813436425
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,val,186,10,7.95648714031,6.38906295817,0.773004850017
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,test,192,10,8.22211129464,6.53118809148,0.767882042166
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=1e-05,1e-05,,train,652,10,7.13096497185,5.2922552404,0.813883481126
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=1e-05,1e-05,,val,186,10,6.53397220985,5.06227478908,0.846916489197
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=1e-05,1e-05,,test,192,10,6.83873935826,5.19129344394,0.839419005675
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.001,0.001,,train,652,10,7.13092931849,5.29224008853,0.81388534221
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.001,0.001,,val,186,10,6.53456636849,5.06295146359,0.846888647014
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.001,0.001,,test,192,10,6.83928003367,5.19205616094,0.839393613385
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.1,0.1,,train,652,10,7.13947229457,5.29753860425,0.813439137961
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.1,0.1,,val,186,10,6.58099223003,5.10485819923,0.844705310833
target_compressive_strength_mpa,abrams_age_core,huber,huber;alpha=0.1,0.1,,test,192,10,6.89869388437,5.25655885765,0.836591069467
target_compressive_strength_mpa,binder_composition_core,ordinary_least_squares,ordinary_least_squares,,,train,652,13,8.17183799149,6.06885914962,0.755585025197
target_compressive_strength_mpa,binder_composition_core,ordinary_least_squares,ordinary_least_squares,,,val,186,13,8.43467941555,6.21256662428,0.744899676737
target_compressive_strength_mpa,binder_composition_core,ordinary_least_squares,ordinary_least_squares,,,test,192,13,9.04759216245,6.88871376615,0.718934157158
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.0001,0.0001,,train,652,13,8.17183809766,6.06886600892,0.755585018846
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.0001,0.0001,,val,186,13,8.43452287195,6.21243793818,0.744909145729
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.0001,0.0001,,test,192,13,9.04754874912,6.88882567598,0.718936854444
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.01,0.01,,train,652,13,8.17275943785,6.0703065854,0.755529902228
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.01,0.01,,val,186,13,8.42097918564,6.20151539109,0.745727709326
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=0.01,0.01,,test,192,13,9.04435415491,6.90027062118,0.719135300279
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=1,1,,train,652,13,8.3207307807,6.16950727387,0.746597289679
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=1,1,,val,186,13,8.39592097959,6.24385544718,0.747238727784
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=1,1,,test,192,13,9.12674491216,7.12608917487,0.713994843294
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=10,10,,train,652,13,8.37160558591,6.20182715574,0.743489095079
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=10,10,,val,186,13,8.43314537634,6.30066178513,0.744992459947
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=10,10,,test,192,13,9.15778968893,7.19050334172,0.712045831393
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=100,100,,train,652,13,8.66079782487,6.51921637404,0.725460956697
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=100,100,,val,186,13,8.87324316052,6.76771864854,0.717681970761
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=100,100,,test,192,13,9.50267807851,7.6199418819,0.689948331558
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.0001,0.0001,,train,652,13,8.171847047,6.06891085503,0.755584483506
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.0001,0.0001,,val,186,13,8.43333092808,6.21147199627,0.744981238128
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.0001,0.0001,,test,192,13,9.04722262249,6.88979717128,0.718957116402
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.001,0.001,,train,652,13,8.17270130576,6.07001346056,0.755533380002
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.001,0.001,,val,186,13,8.42253264575,6.20279365641,0.745633886913
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.001,0.001,,test,192,13,9.04488507225,6.90043701285,0.719102324941
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.01,0.01,,train,652,13,8.257291107,6.12699353619,0.750446591488
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.01,0.01,,val,186,13,8.38829935187,6.22883228723,0.747697421459
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.01,0.01,,test,192,13,9.08932147795,7.05509529691,0.716335513773
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.1,0.1,,train,652,13,8.36106021998,6.17572804564,0.744134920456
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.1,0.1,,val,186,13,8.51630345273,6.3290028831,0.739938475948
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.1,0.1,,test,192,13,9.16571990713,7.18433863941,0.711546905739
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=1,1,,train,652,13,8.91385221051,6.78357478401,0.709183413047
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=1,1,,val,186,13,9.3060363033,7.11907127625,0.689470165015
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=1,1,,test,192,13,9.79835924798,7.88411840307,0.67035328243
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,train,652,13,8.29363754524,6.15062772927,0.748244818498
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,val,186,13,8.3867767084,6.23447141522,0.747789009036
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,test,192,13,9.1084887691,7.09580794961,0.715137885856
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,train,652,13,8.27064273507,6.13587804382,0.749638908183
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,val,186,13,8.38108099335,6.22641384444,0.748131461016
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,test,192,13,9.0933117624,7.06849004628,0.71608639717
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,train,652,13,8.22369099972,6.11047222524,0.752473396952
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,val,186,13,8.37669544893,6.20689891709,0.748394981121
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,test,192,13,9.06351156423,7.00269044252,0.717944206154
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,train,652,13,8.35836854054,6.19230830191,0.744299635432
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,val,186,13,8.41945197162,6.27654384548,0.745819929716
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,test,192,13,9.14929707067,7.1702734871,0.712579661277
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,train,652,13,8.35023723155,6.18587553046,0.744796901691
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,val,186,13,8.41744063057,6.268170128,0.745941358461
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,test,192,13,9.14613469041,7.16012803888,0.712778315953
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,train,652,13,8.34190384033,6.17992529678,0.745306024004
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,val,186,13,8.4175227695,6.26074773208,0.745936400135
