target,split_id,group_column,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_pretest,admissible,knn,188,117,60,3.223950280,5.068404303,3.592358882,6.715202292,4.852397579,1.646797990,1.260038696,0.245234308,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_pretest,admissible,extra_trees,188,117,60,0.870144782,4.961713149,4.259872940,6.715202292,4.852397579,1.753489143,0.592524638,0.261122311,true,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_pretest,admissible,hist_gradient_boosting,188,117,60,2.815588041,7.909935890,3.461796841,6.715202292,4.852397579,-1.194733598,1.390600738,-0.177914759,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,trigger_only,admissible,knn,188,117,60,5.901778988,7.769066115,11.598801296,6.715202292,4.852397579,-1.053863823,-6.746403717,-0.156937018,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,trigger_only,admissible,extra_trees,188,117,60,2.963402742,6.137057419,7.256783756,6.715202292,4.852397579,0.578144873,-2.404386177,0.086094930,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,trigger_only,admissible,hist_gradient_boosting,188,117,60,4.090470332,6.668115765,7.484818985,6.715202292,4.852397579,0.047086528,-2.632421406,0.007011930,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_trigger_safe,admissible,knn,188,117,60,3.158564212,5.699284904,4.808056050,6.715202292,4.852397579,1.015917388,0.044341529,0.151286193,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_trigger_safe,admissible,extra_trees,188,117,60,0.000000000,6.197634043,4.234978054,6.715202292,4.852397579,0.517568249,0.617419525,0.077074111,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_trigger_safe,admissible,hist_gradient_boosting,188,117,60,1.871660591,5.819214001,3.775283910,6.715202292,4.852397579,0.895988291,1.077113669,0.133426850,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_trigger_no_pretest_mass,admissible,knn,188,117,60,3.155101482,5.384920170,4.806813270,6.715202292,4.852397579,1.330282122,0.045584309,0.198100082,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_trigger_no_pretest_mass,admissible,extra_trees,188,117,60,0.281475075,6.639975858,4.160522562,6.715202292,4.852397579,0.075226434,0.691875016,0.011202408,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_trigger_no_pretest_mass,admissible,hist_gradient_boosting,188,117,60,1.973543929,5.779436370,3.728041109,6.715202292,4.852397579,0.935765922,1.124356470,0.139350370,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_mass_only,scaling_control,knn,188,117,60,3.658307333,7.184535786,3.870715715,6.715202292,4.852397579,-0.469333494,0.981681864,-0.069891192,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_mass_only,scaling_control,extra_trees,188,117,60,1.542170767,5.425076463,4.498578869,6.715202292,4.852397579,1.290125830,0.353818710,0.192120174,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_mass_only,scaling_control,hist_gradient_boosting,188,117,60,3.382613156,6.845899896,4.170763141,6.715202292,4.852397579,-0.130697604,0.681634438,-0.019462944,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,series_shortcut,negative_control,knn,188,117,60,7.167615568,7.254546928,6.924030877,6.715202292,4.852397579,-0.539344635,-2.071633298,-0.080316960,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,series_shortcut,negative_control,extra_trees,188,117,60,6.052984501,5.902447515,4.153056749,6.715202292,4.852397579,0.812754778,0.699340830,0.121032062,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,series_shortcut,negative_control,hist_gradient_boosting,188,117,60,6.058045310,5.902447508,4.219994408,6.715202292,4.852397579,0.812754785,0.632403170,0.121032063,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_description_shortcut,negative_control,knn,188,117,60,4.792937101,6.636547218,5.936950815,6.715202292,4.852397579,0.078655075,-1.084553236,0.011712987,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_description_shortcut,negative_control,extra_trees,188,117,60,4.039857556,7.961809891,4.770726924,6.715202292,4.852397579,-1.246607599,0.081670655,-0.185639620,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_description_shortcut,negative_control,hist_gradient_boosting,188,117,60,4.567727209,7.404903980,4.557154351,6.715202292,4.852397579,-0.689701688,0.295243228,-0.102707507,false,false
