file_id,member_name,member_size,registration_keyword,timing_keyword,command_keyword,target_keyword
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/,0,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0002.csv,133594152,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0003.csv,158178014,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0004.csv,136324608,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0005.csv,131658002,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0006.csv,137965046,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0007.csv,159926383,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0008.csv,135407975,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0009.csv,133173356,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0010.csv,139016593,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0011.csv,159338727,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0012.csv,134603187,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0013.csv,133405003,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0014.csv,142030430,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0015.csv,156228034,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0016.csv,132277817,false,false,true,false
