source_group_key,target_group_key,target_type,source_first_index,source_last_index,source_count,target_first_index,target_last_index,target_count,best_source_minus_target_offset,matched_pairs,source_coverage,target_coverage,first_pair,last_pair,join_evidence_status
Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,In-situ Meas Data/Layer Camera/A{index}.bmp,layer_camera,2,250,249,2,247,246,0,246,0.987952,1.000000,source_layer=2;target_index=2,source_layer=247;target_index=247,source_target_layer_join_ready
Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,In-situ Meas Data/Layer Camera/B{index}.bmp,layer_camera,2,250,249,1,246,246,1,246,0.987952,1.000000,source_layer=2;target_index=1,source_layer=247;target_index=246,source_target_layer_join_ready
Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,In-situ Meas Data/Melt Pool Camera/MIA_L{layer}/frame{index}.bmp,melt_pool_camera_layer_directory,2,250,249,1,26,25,1,26,0.104418,1.040000,source_layer=2;target_index=1,source_layer=27;target_index=26,source_target_layer_join_ready
