seed,case_id,split,policy_id,family,selected_count,posterior_trace_before,posterior_trace_after,posterior_trace_contraction,parameter_error_before,parameter_error_after,parameter_error_gain,closure_abs_error_before,closure_abs_error_after,closure_abs_error_gain,duplicate_fraction,boundary_fraction,utility_score
178,P169-CASE-012,val,uniform_budget_control,control,12,3.092e-07,0,3.092e-07,0.1802868877,0.2463606217,-0.066073734,0.0391562036,0.05382948,-0.0146732764,0,0.25,-0.1327704141
178,P169-CASE-012,val,random_budget_control,control,12,3.092e-07,0.0001379865,-0.0001376773,0.1802868877,0.4324931804,-0.2522062927,0.0391562036,0.0949384934,-0.0557822898,0,0.0833333333,-0.5057759231
178,P169-CASE-012,val,no_new_observation_control,control,0,3.092e-07,3.092e-07,0,0.1802868877,0.1802868877,0,0.0391562036,0.0391562036,0,0,0,0
178,P169-CASE-014,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0004095679,0,0.0004095679,0.0630557728,0.2213609022,-0.1583051294,0.0123935608,0.0482874334,-0.0358938727,0,0.1666666667,-0.3214181392
178,P169-CASE-014,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0004095679,0,0.0004095679,0.0630557728,0.1703899616,-0.1073341887,0.0123935608,0.0369490105,-0.0245554498,0,0.3333333333,-0.2189089127
178,P169-CASE-014,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0004095679,0,0.0004095679,0.0630557728,0.0412354558,0.021820317,0.0123935608,0.0065071017,0.0058864591,0,0.0833333333,0.048617906
178,P169-CASE-014,test,uniform_budget_control,control,12,0.0004095679,2.69e-08,0.0004095411,0.0630557728,0.0911929582,-0.0281371854,0.0123935608,0.0190406622,-0.0066471014,0,0.25,-0.0583103287
178,P169-CASE-014,test,random_budget_control,control,12,0.0004095679,1.3e-09,0.0004095666,0.0630557728,0.0304468237,0.0326089491,0.0123935608,0.0022163154,0.0101772453,0,0.4166666667,0.0789101119
178,P169-CASE-014,test,no_new_observation_control,control,0,0.0004095679,0.0004095679,0,0.0630557728,0.0630557728,0,0.0123935608,0.0123935608,0,0,0,0
178,P169-CASE-016,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0003814958,0.2111905871,-0.2108090912,0.3540751945,2.277566995,-1.923491801,0.0775155572,0.5010084731,-0.4234929159,0,0,-3.869540509
178,P169-CASE-016,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0003814958,0.254626434,-0.2542449382,0.3540751945,2.032606412,-1.678531217,0.0775155572,0.4471087534,-0.3695931963,0,0,-3.383924785
178,P169-CASE-016,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0003814958,0.2868751236,-0.2864936277,0.3540751945,1.086990771,-0.7329155762,0.0775155572,0.2389169251,-0.1614013679,0,0,-1.49520752
178,P169-CASE-016,val,uniform_budget_control,control,12,0.0003814958,5.5721e-06,0.0003759237,0.3540751945,0.2048584625,0.149216732,0.0775155572,0.0444050546,0.0331105026,0,0.25,0.2997566089
178,P169-CASE-016,val,random_budget_control,control,12,0.0003814958,1.5243e-06,0.0003799715,0.3540751945,0.3238391797,0.0302360148,0.0775155572,0.0708265281,0.0066890291,0,0.1666666667,0.0606786895
178,P169-CASE-016,val,no_new_observation_control,control,0,0.0003814958,0.0003814958,0,0.3540751945,0.3540751945,0,0.0775155572,0.0775155572,0,0,0,0
178,P169-CASE-018,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,4.09373e-05,0.399775474,-0.3997345368,0.442703656,2.010395766,-1.56769211,0.0970895003,0.4421916909,-0.3451021906,0,0,-3.176311884
178,P169-CASE-018,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,4.09373e-05,0.399775474,-0.3997345368,0.442703656,2.010395766,-1.56769211,0.0970895003,0.4421916909,-0.3451021906,0,0,-3.176311884
178,P169-CASE-018,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,4.09373e-05,0.2424348668,-0.2423939295,0.442703656,1.007521904,-0.564818248,0.0970895003,0.2212609512,-0.1241714509,0,0,-1.153473327
178,P169-CASE-018,test,uniform_budget_control,control,12,4.09373e-05,1.4997e-06,3.94376e-05,0.442703656,0.0968077187,0.3458959373,0.0970895003,0.0198543317,0.0772351686,0,0.25,0.6969688292
178,P169-CASE-018,test,random_budget_control,control,12,4.09373e-05,0.0534668692,-0.0534259319,0.442703656,0.576357796,-0.13365414,0.0970895003,0.1265850796,-0.0294955793,0,0.25,-0.2730675482
178,P169-CASE-018,test,no_new_observation_control,control,0,4.09373e-05,4.09373e-05,0,0.442703656,0.442703656,0,0.0970895003,0.0970895003,0,0,0,0
178,P169-CASE-020,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0455461426,0.0658558205,-0.0203096779,0.3552908098,0.5711849045,-0.2158940947,0.0776164106,0.1250856031,-0.0474691925,0,0.5,-0.4336941193
178,P169-CASE-020,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0455461426,0.1880637313,-0.1425175887,0.3552908098,2.190098972,-1.834808163,0.0776164106,0.4817079426,-0.404091532,0,0.1666666667,-3.685839613
178,P169-CASE-020,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0455461426,0.0771662854,-0.0316201427,0.3552908098,1.285309163,-0.9300183534,0.0776164106,0.2825803957,-0.2049639851,0,0,-1.864834845
178,P169-CASE-020,test,uniform_budget_control,control,12,0.0455461426,0.0063637942,0.0391823484,0.3552908098,0.5118811709,-0.1565903611,0.0776164106,0.1119348142,-0.0343184036,0,0.25,-0.3086648701
178,P169-CASE-020,test,random_budget_control,control,12,0.0455461426,0.0001935262,0.0453526165,0.3552908098,0.2792680393,0.0760227705,0.0776164106,0.0601763535,0.0174400571,0,0.25,0.1598310188
178,P169-CASE-020,test,no_new_observation_control,control,0,0.0455461426,0.0455461426,0,0.3552908098,0.3552908098,0,0.0776164106,0.0776164106,0,0,0,0
178,P169-CASE-023,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.1167963938,0.6922303423,-0.5754339485,0.1336235382,2.009572785,-1.875949247,0.0291821681,0.4420187537,-0.4128365856,0,0,-3.810022576
178,P169-CASE-023,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.1167963938,0.874873576,-0.7580771822,0.1336235382,2.256661175,-2.123037636,0.0291821681,0.496407509,-0.4672253409,0,0.1666666667,-4.322596904
178,P169-CASE-023,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.1167963938,0.3510398665,-0.2342434727,0.1336235382,1.205118719,-1.07149518,0.0291821681,0.2648848554,-0.2357026873,0,0,-2.166295379
178,P169-CASE-023,val,uniform_budget_control,control,12,0.1167963938,0.0297052058,0.087091188,0.1336235382,0.3986084969,-0.2649849587,0.0291821681,0.0869340441,-0.057751876,0,0.25,-0.5187843674
178,P169-CASE-023,val,random_budget_control,control,12,0.1167963938,0.00225493,0.1145414638,0.1336235382,0.1135493387,0.0200741995,0.0291821681,0.0217065279,0.0074756402,0,0.0833333333,0.0655085286
178,P169-CASE-023,val,no_new_observation_control,control,0,0.1167963938,0.1167963938,0,0.1336235382,0.1336235382,0,0.0291821681,0.0291821681,0,0,0,0
178,P169-CASE-025,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0021168991,0.0045781036,-0.0024612045,0.2011184788,1.524325157,-1.323206678,0.0434742073,0.3352457454,-0.291771538,0,0.25,-2.649687063
178,P169-CASE-025,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0021168991,0.000219033,0.0018978661,0.2011184788,0.8021908335,-0.6010723547,0.0434742073,0.1762800614,-0.132805854,0,0.1666666667,-1.204545541
178,P169-CASE-025,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0021168991,4.96823e-05,0.0020672167,0.2011184788,1.292957771,-1.091839292,0.0434742073,0.2843252079,-0.2408510005,0,0,-2.186409845
178,P169-CASE-025,val,uniform_budget_control,control,12,0.0021168991,0.0003940124,0.0017228867,0.2011184788,0.041668273,0.1594502057,0.0434742073,0.0035788907,0.0398953166,0,0.25,0.3409648425
178,P169-CASE-025,val,random_budget_control,control,12,0.0021168991,1.9007e-06,0.0021149983,0.2011184788,0.1941764206,0.0069420581,0.0434742073,0.0418748531,0.0015993542,0,0.3333333333,0.0144233499
178,P169-CASE-025,val,no_new_observation_control,control,0,0.0021168991,0.0021168991,0,0.2011184788,0.2011184788,0,0.0434742073,0.0434742073,0,0,0,0
178,P169-CASE-027,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.0081288699,0.0008702244,0.0072586454,0.6474987205,1.730424151,-1.08292543,0.1422248866,0.3805996497,-0.2383747631,0,0.25,-2.165721216
178,P169-CASE-027,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.0081288699,6.07254e-05,0.0080681445,0.6474987205,0.9116270189,-0.2641282984,0.1422248866,0.200379984,-0.0581550974,0,0.1666666667,-0.5276628358
178,P169-CASE-027,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.0081288699,4.5572e-06,0.0081243127,0.6474987205,1.395673848,-0.7481751271,0.1422248866,0.3069319546,-0.164707068,0,0,-1.496031187
178,P169-CASE-027,test,uniform_budget_control,control,12,0.0081288699,0.0448960278,-0.0367671579,0.6474987205,0.7458466898,-0.0983479693,0.1422248866,0.1639145144,-0.0216896278,0,0.25,-0.2006139023
178,P169-CASE-027,test,random_budget_control,control,12,0.0081288699,0.0001244627,0.0080044072,0.6474987205,0.4144854691,0.2330132514,0.1422248866,0.0907948199,0.0514300667,0,0.1666666667,0.4675867227
178,P169-CASE-027,test,no_new_observation_control,control,0,0.0081288699,0.0081288699,0,0.6474987205,0.6474987205,0,0.1422248866,0.1422248866,0,0,0,0
178,P169-CASE-029,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.4137103081,0.0627135837,0.3509967244,0.5540083336,0.5255888597,0.0284194739,0.1217128659,0.1152833508,0.0064295151,0,0.25,0.092744215
178,P169-CASE-029,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.4137103081,0.0388344307,0.3748758774,0.5540083336,0.3954645499,0.1585437837,0.1217128659,0.0865868823,0.0351259837,0,0.3333333333,0.3556949336
178,P169-CASE-029,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.4137103081,0.0026363407,0.4110739674,0.5540083336,1.330939591,-0.7769312575,0.1217128659,0.2926628907,-0.1709500247,0,0,-1.512869428
178,P169-CASE-029,test,uniform_budget_control,control,12,0.4137103081,0.3206204336,0.0930898745,0.5540083336,0.5174187529,0.0365895806,0.1217128659,0.1134958522,0.0082170138,0,0.25,0.0832486308
178,P169-CASE-029,test,random_budget_control,control,12,0.4137103081,0.0044425528,0.4092677553,0.5540083336,0.8486493306,-0.2946409971,0.1217128659,0.1865405993,-0.0648277333,0,0.1666666667,-0.5483857366
178,P169-CASE-029,test,no_new_observation_control,control,0,0.4137103081,0.4137103081,0,0.5540083336,0.5540083336,0,0.1217128659,0.1217128659,0,0,0,0
178,P169-CASE-033,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,0,0,0,0.7951078155,0.103099272,0.6920085436,0.1748874831,0.0224006696,0.1524868136,0,0.3333333333,1.385130423
178,P169-CASE-033,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0,0,0,0.7951078155,0.625187185,0.1699206305,0.1748874831,0.1374950927,0.0373923904,0,0,0.3398860414
178,P169-CASE-033,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0,0,0,0.7951078155,0.3229611548,0.4721466608,0.1748874831,0.070962196,0.1039252871,0,0,0.9445343295
178,P169-CASE-033,test,uniform_budget_control,control,12,0,0,0,0.7951078155,0.3694549663,0.4256528492,0.1748874831,0.0812020787,0.0936854044,0,0.25,0.8514955965
