target,profile,method,split,n_rows,balanced_accuracy,accuracy,log_loss,true_positive_rate,true_negative_rate,true_positive_fraction,pred_positive_fraction
is_metal,composition_hash_shortcut,knn,test,919,0.500000000,0.498367791,0.707781812,1.000000000,0.000000000,0.498367791,1.000000000
is_metal,chemistry_family_shortcut,knn,train,3001,0.549039884,0.553148950,1.037371367,0.123822342,0.974257426,0.495168277,0.074308564
is_metal,chemistry_family_shortcut,knn,val,1001,0.500000000,0.493506494,1.301529762,0.000000000,1.000000000,0.506493506,0.000000000
is_metal,chemistry_family_shortcut,knn,test,919,0.500000000,0.501632209,1.282045147,0.000000000,1.000000000,0.498367791,0.000000000
is_metal,dominant_element_shortcut,knn,train,3001,0.773539171,0.772742419,0.636588522,0.855989233,0.691089109,0.495168277,0.579806731
is_metal,dominant_element_shortcut,knn,val,1001,0.773071733,0.774225774,0.578975008,0.861932939,0.684210526,0.506493506,0.592407592
is_metal,dominant_element_shortcut,knn,test,919,0.724950033,0.724700762,0.664686461,0.801310044,0.648590022,0.498367791,0.575625680
is_metal,dominant_element_shortcut,extra_trees,train,3001,0.782565995,0.781739420,0.432183016,0.868102288,0.697029703,0.495168277,0.582805731
is_metal,dominant_element_shortcut,extra_trees,val,1001,0.760666459,0.762237762,0.523240897,0.881656805,0.639676113,0.506493506,0.624375624
is_metal,dominant_element_shortcut,extra_trees,test,919,0.727161856,0.726877040,0.549578295,0.814410480,0.639913232,0.498367791,0.586507073
