gate_id,gate_scope,input_source,status,rmse_gain,hot_q90_rmse_gain,gradient_q90_rmse_gain,coverage_ok,parameter_or_source_recovery_ok,region_preservation_ok,a100_training_allowed,decision,evidence_locator
P75-SYNTH,synthetic_known_parameter_identifiability,synthetic_heat_source_heat_kernel,positive,0.111717,0.106836,0.294485,true,true,true,false,passes_this_gate,docs/results/phase75_bayesian_inverse_closure_gate/phase75_synthetic_identifiability_probe.json
P75-LOCAL,local_ambench_line0_1_region_preservation,docs/results/phase75_bayesian_inverse_closure_gate/phase75_line0_1_temperature_medium_probe_snapshot.csv,negative,-50.403261,75.802315,19.402300,true,true,true,false,fails_this_gate_due_to_metric_transfer_or_recovery,docs/results/phase75_bayesian_inverse_closure_gate/phase75_local_ambench_probe.json
