feature_profile,profile_role,selected_validation_method,selected_validation_rmse,selected_test_rmse,selected_validation_normalized_rmse,selected_test_normalized_rmse,guard_validation_rmse,guard_test_rmse,best_control_profile,best_control_validation_rmse,best_control_test_rmse,validation_improvement_over_guard,test_improvement_over_guard,validation_improvement_over_control,test_improvement_over_control,validation_improves_guard,test_improves_guard,validation_beats_controls,test_beats_controls,status,phase148_candidate
phase106_guard_replay,guard_replay,hist_gradient_boosting,1.174314337940004,1.3827508688560513,0.25574049896119716,0.24620803695460597,1.174314337940004,1.3827508688560513,camera_layer_time_control,0.9720726484908978,1.535568940135318,0.0,0.0,-0.20224168944910625,0.15281807127926683,false,false,false,true,control_or_guard_profile,false
scalar_source_control,control,hist_gradient_boosting,1.174314337940004,1.3827508688560513,0.25574049896119716,0.24620803695460597,1.174314337940004,1.3827508688560513,camera_layer_time_control,0.9720726484908978,1.535568940135318,0.0,0.0,-0.20224168944910625,0.15281807127926683,false,false,false,true,control_or_guard_profile,false
layer_time_control,control,hist_gradient_boosting,1.206224989467648,1.4647156871692277,0.26268995506523524,0.2608024208532206,1.174314337940004,1.3827508688560513,camera_layer_time_control,0.9720726484908978,1.535568940135318,-0.03191065152764394,-0.08196481831317648,-0.2341523409767502,0.07085325296609035,false,false,false,true,control_or_guard_profile,false
camera_layer_time_control,control,hist_gradient_boosting,0.9720726484908978,1.535568940135318,0.21169659274337804,0.2734183162524122,1.174314337940004,1.3827508688560513,camera_layer_time_control,0.9720726484908978,1.535568940135318,0.20224168944910625,-0.15281807127926683,0.0,0.0,true,false,false,true,control_or_guard_profile,false
path_contact_graph_shuffled,control,hist_gradient_boosting,1.0673110025154144,1.4205136430245549,0.2324374654310088,0.2529319513685446,1.174314337940004,1.3827508688560513,camera_layer_time_control,0.9720726484908978,1.535568940135318,0.10700333542458962,-0.0377627741685036,-0.09523835402451664,0.11505529711076323,true,false,false,true,control_or_guard_profile,false
path_contact_graph_ordered,candidate,hist_gradient_boosting,1.255095011610485,1.3581150777081423,0.27333279867470534,0.24182146963147833,1.174314337940004,1.3827508688560513,camera_layer_time_control,0.9720726484908978,1.535568940135318,-0.08078067367048103,0.024635791147908925,-0.2830223631195873,0.17745386242717576,false,true,false,true,blocked_no_validation_gain_over_phase106_guard,false
path_contact_graph_full,candidate,hist_gradient_boosting,1.2837133762778044,1.341997214561371,0.2795652652494664,0.23895157633786387,1.174314337940004,1.3827508688560513,camera_layer_time_control,0.9720726484908978,1.535568940135318,-0.10939903833780029,0.04075365429468025,-0.31164072778690655,0.19357172557394708,false,true,false,true,blocked_no_validation_gain_over_phase106_guard,false
