target,row_count,train_rows,val_rows,test_rows,mean_val_rmse,mean_test_rmse,best_profile,best_method,best_val_rmse,best_test_rmse,val_gain_vs_mean,test_gain_vs_mean,shortcut_profile_val_rmse,shortcut_profile_test_rmse,phase117_candidate,status,reason
Corrected-Total-Energy-Yield-kJ,365,227,84,54,30.488296707,22.978932725,cell_pretest,hist_gradient_boosting,14.848459623,7.377666236,15.639837084,15.601266489,30.334986737,31.532613850,true,candidate_gap_ready_focused_review,validation-selected safe profile beats mean and preserves test gain
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,365,227,84,54,28.945798574,20.963438902,cell_pretest,hist_gradient_boosting,13.419627457,6.447380449,15.526171118,14.516058453,28.849392868,29.939236638,true,candidate_gap_ready_focused_review,validation-selected safe profile beats mean and preserves test gain
Baseline-Total-Energy-Yield-kJ,365,227,84,54,28.264614185,21.471675729,cell_pretest,hist_gradient_boosting,13.693647544,6.710535800,14.570966641,14.761139929,28.326155695,29.998522413,true,candidate_gap_ready_focused_review,validation-selected safe profile beats mean and preserves test gain
Energy-Percent-Positive-Ejecta-%,364,227,84,53,28.757276619,25.973035342,cell_trigger_safe,knn,24.687536899,19.325998102,4.069739720,6.647037240,28.906244836,38.342290671,true,candidate_gap_ready_focused_review,validation-selected safe profile beats mean and preserves test gain
Energy-Percent-Negative-Ejecta-%,364,227,84,53,24.776710594,12.622406450,trigger_numeric,knn,18.228140370,13.484015795,6.548570225,-0.861609346,21.191150817,32.307047915,false,blocked_validation_test_reversal,validation gain does not preserve test gain
Post-Test-Mass-Unrecovered-g,365,227,84,54,7.101409205,4.254806491,cell_trigger_safe,hist_gradient_boosting,4.339407144,2.510406066,2.762002061,1.744400425,6.023087486,6.497624129,true,candidate_gap_ready_focused_review,validation-selected safe profile beats mean and preserves test gain
