evidence_source,dataset,metric,candidate,best_strong_baseline,no_process,margin_vs_best_strong,margin_vs_no_process,density_debt_vs_best_strong,safety_ratio,status,interpretation,evidence_locator
phase55_fixed_sampling_floor,broad12,rmse,136.384782,151.850578,238.093690,15.465796,101.708908,0.000000,0.000000,margin_preserved,fixed-sampling floor preserves this metric against strong baselines,outputs/reports/phase55_spot_size_route_seed_check_summary.json
phase55_fixed_sampling_floor,broad12,hot_q90_rmse,162.125337,252.554440,424.409003,90.429103,262.283666,0.000000,0.000000,margin_preserved,fixed-sampling floor preserves this metric against strong baselines,outputs/reports/phase55_spot_size_route_seed_check_summary.json
phase55_fixed_sampling_floor,broad12,gradient_q90_rmse,165.282182,233.119660,382.799174,67.837478,217.516992,0.000000,0.000000,margin_preserved,fixed-sampling floor preserves this metric against strong baselines,outputs/reports/phase55_spot_size_route_seed_check_summary.json
phase55_fixed_sampling_floor,broad21,rmse,146.002303,149.185412,217.922642,3.183109,71.920340,13.533809,4.251757,density_debt_exceeds_floor_margin,density boundary debt is larger than the fixed-sampling safety margin,outputs/reports/phase55_spot_size_route_seed_check_summary.json
phase55_fixed_sampling_floor,broad21,hot_q90_rmse,164.313888,251.976794,401.488520,87.662906,237.174632,17.499198,0.199619,density_debt_within_floor_margin,density boundary exists but is smaller than the fixed-sampling safety margin,outputs/reports/phase55_spot_size_route_seed_check_summary.json
phase55_fixed_sampling_floor,broad21,gradient_q90_rmse,174.735839,231.072566,360.868300,56.336727,186.132461,18.739041,0.332626,density_debt_within_floor_margin,density boundary exists but is smaller than the fixed-sampling safety margin,outputs/reports/phase55_spot_size_route_seed_check_summary.json
