target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,test,5958,8,31.5916723436,20.2976248956,0.214578034194
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,train,11644,8,21.580544767,15.4937949882,0.558005734267
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,val,3661,8,23.8951366184,17.1988651022,0.540403905515
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,test,5958,8,31.6059939586,20.295349277,0.213865754038
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,train,11644,8,21.5911719362,15.5507662482,0.557570313897
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,val,3661,8,23.9022146773,17.2458796359,0.540131588177
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,test,5958,8,31.27912013,20.3556909228,0.230042300636
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,train,11644,8,21.5856228916,15.5292454572,0.557797698178
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,val,3661,8,23.8988709633,17.2281648326,0.540260242438
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,test,5958,8,31.398057694,20.3356771431,0.224175703274
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,train,11644,8,21.5819902464,15.5067761105,0.557946522135
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,val,3661,8,23.8970817759,17.209360323,0.540329076634
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,test,5958,8,31.5298110803,20.3149583451,0.217650972152
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,train,11644,8,21.8906431901,15.9325648466,0.54521213055
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,val,3661,8,24.1265219745,17.56166704,0.53145993581
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,test,5958,8,30.1315497955,20.7045430614,0.285502440202
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,train,11644,8,21.7807712541,15.8124766549,0.549765950583
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,val,3661,8,24.0391808571,17.4548954039,0.534846146212
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,test,5958,8,30.3662239709,20.5967056217,0.274329627865
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,train,11644,8,21.6567079821,15.654841315,0.554880409248
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,val,3661,8,23.9478127804,17.3203323456,0.538375338482
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,test,5958,8,30.8337349584,20.4524562764,0.25181313414
