target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase156_guard_profile,phase156_guard_method,phase156_guard_val_rmse,phase156_guard_test_rmse,val_gain_vs_phase156,relative_val_gain_vs_phase156,test_gain_vs_phase156,test_reversal_ratio_vs_phase156,clears_phase156_validation_guard,clears_phase156_test_guard,selected_low_capacity
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,8,21.6567079821,23.9478127804,30.8337349584,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-11.541415975,-0.930279448258,-16.1040961279,2.09331235567,false,false,false
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,8,23.3924700092,25.5907555191,30.162445549,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-13.1843587137,-1.06270651507,-15.4328067185,2.047738298,false,false,false
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,8,22.9790032264,25.1712623055,29.9593895026,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-12.7648655001,-1.02889386019,-15.2297506721,2.03395275657,false,false,false
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,8,22.4045999954,24.6182201993,29.7772764101,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-12.2118233938,-0.984316686415,-15.0476375796,2.02158903913,false,false,false
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=1e-05,1e-05,,8,22.5061833503,24.8078295736,38.3129178798,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-12.4014327682,-0.999599880829,-23.5832790492,2.60107653151,false,false,false
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.001,0.001,,8,22.5059799701,24.8076630405,38.311941653,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-12.4012662351,-0.999586457661,-23.5823028225,2.60101025516,false,false,false
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.1,0.1,,8,22.4858439021,24.7915991268,38.2154515193,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-12.3852023214,-0.998291648712,-23.4858126887,2.59445950841,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,ordinary_least_squares,ordinary_least_squares,,,16,20.6837450837,20.4764773113,28.3037904077,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.07008050592,-0.650477381346,-13.5741515772,1.92155359227,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.0001,0.0001,,16,20.6837450837,20.4764772749,28.3037892938,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.07008046948,-0.650477378409,-13.5741504633,1.92155351665,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.01,0.01,,16,20.6837450839,20.4764736673,28.3036790229,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.07007686189,-0.650477087624,-13.5740401924,1.92154603032,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=1,1,,16,20.6837463397,20.4761172154,28.2926852785,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06972041004,-0.650448356329,-13.563046448,1.92079966142,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=10,10,,16,20.6838660875,20.4732541655,28.1956931634,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06685736006,-0.65021758425,-13.4660543329,1.91421483499,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=100,100,,16,20.6923826911,20.4715884603,27.456478555,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06519165494,-0.650083322454,-12.7268397245,1.86402931334,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.0001,0.0001,,16,20.6837450888,20.4764475787,28.3031893436,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.0700507733,-0.650474984791,-13.5735505131,1.92151278584,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.001,0.001,,16,20.6837469833,20.4758755838,28.2904662395,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06947877844,-0.650428879957,-13.560827409,1.92064901014,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.01,0.01,,16,20.6839358872,20.4708665091,28.1719999226,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06446970374,-0.650025130602,-13.442361092,1.91260629311,false,false,false
